"cve_ent","poblacion","nombre","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020"
"10","1868996","DURANGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","0","0","1","0","1","1","1","0","0","0","0","2","2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","2","2","0","2","10","4","3","2","1","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","0","1","1","4","11","1","6","1","4","6","5","4","1","4","2","1","2","4","3","3","7","6","8","2","2","3","1","2","3","13","12","28","10","9","7","8","7","0","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","3","1","0","0","1","0","1","0","3","4","3","3","1","2","5","3","1","1","3","3","8","11","6","7","5","5","11","16","6","5","10","9","8","6","14","5","2","2","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","3","3","0","1","1","4","4","5","0","2","7","7","4","1","2","2","1","3","3","1","0","7","3","5","7","6","4","3","7","4","12","9","8","12","18","2"
"14","8409693","JALISCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","5","2","12","6","17","10","5","1","3","7","7","7","6","7","2","2","7","7","2","8","11","1","2","3","5","9","5","8","5","5","10","4","10","8","11","6","4","9","12","7","5","1"
"15","17427790","MEXICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","2","1","2","2","2","12","4","10","6","7","6","11","10","6","5","14","22","21","24","39","24","17","50","31","47","42","45","30","38","67","64","79","41","69","64","59","131","118","142","133","106","108","108","165","147","68","33","2"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5","0","3","3","2","3","1","1","3","0","4","4","0","6","2","2","6","6","4","9","3","2","4","13","15","9","8","13","7","9","22","11","7","2","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","2","3","0","0","0","2","1","2","1","3","8","1","2","3","8","7","6","6","1","1","3","7","10","7","8","5","2","9","19","13","16","8","0"
"18","1288571","NAYARIT","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","3","0","0","0","0","0","0","2","0","0","1","4","2","2","2","2","2","0","2","3","4","2","2","3","4","2","2","1","3","4","2","0"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","5","6","0","6","6","9","4","12","4","4","5","5","0","2","8","2","3","4","0","0","5","2","3","2","10","6","8","1","22","8","15","18","14","3","10","8","6","1","12","14","8","3","1"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","1","1","2","1","3","3","1","1","2","2","5","1","0","3","2","2","6","0","4","0","2","1","2","5","4","7","4","8","3","3","4","2","8","4","3"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","2","3","2","3","3","5","5","4","1","8","15","6","14","8","12","4","14","21","13","18","14","10","6","22","12","20","11","8","14","4","21","10","23","17","27","22","11","23","12","16","13","0"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","1","0","0","2","2","3","0","1","0","3","4","2","1","3","0","1","1","4","4","1","4","1","0","4","4","3","3","2","2","1","6","7","2","5","5","2","1","4","1","6","7","0"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","4","0","3","4","2","5","0","3","4","4","9","11","9","7","7","3","22","14","23","12","13","8","10","29","18","26","9","23","16","20","20","18","19","29","35","34","18","24","10","17","4","1"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","5","1","3","3","4","1","2","0","0","1","6","0","6","3","2","0","0","0","3","1","2","4","1","4","1","2","0","1","0","2","2","7","1","0","0","1","0","3","0"
"25","3156674","SINALOA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","1","2","6","7","9","9","5","6","11","15","14","28","9","10","15","28","20","29","12","33","23","21","41","46","48","40","35","27","28","55","39","20","10","1"
"26","3074745","SONORA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","1","0","2","3","3","0","4","3","0","1","5","1","2","1","5","2","9","9","9","4","5","5","3","16","5","11","5","3","9","3","6","6","3","0","0"
"27","2572287","TABASCO","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","0","0","3","10","3","5","10","1","9","9","11","9","15","20","3","8","7","11","17","11","13","18","27","29","46","37","40","50","46","40","50","48","53","26","14"
"28","3650602","TAMAULIPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","2","1","1","0","0","1","1","3","4","4","6","1","4","3","1","8","4","3","2","3","2","7","5","16","14","22","15","7","5","18","14","14","21","0"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","2","0","1","0","4","1","0","2","6","8","7","6","1","5","6","2","5","6","4","6","5","4","9","8","8","5","8","4"
"30","8539862","VERACRUZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7","5","1","1","0","4","2","2","4","1","1","1","3","2","8","5","7","2","2","6","11","4","12","9","14","9","12","13","27","33","30","14","16","23","15","9","2","0"
"31","2259098","YUCATAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","6","0","2","5","0","8","5","8","3","0","3","4","2","10","4","8","2","8","2","5","13","11","9","10","4","7","6","17","18","23","12","11","6","4","18","16","9","16","0"
"32","1666426","ZACATECAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","1","0","0","3","1","0","0","0","0","1","0","1","1","1","0","2","1","0","2","1","0","1","6","3","2","7","1","10","1","2","6","0"
