estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,180,180,2,4,121,434,470,1347,2,19,20,87,8383,28114,36371,88872,43,150,162,370,0,0,0
Baja California,93,406,200,245,380,1228,1598,3648,17,104,167,963,15557,60346,75833,125996,247,1002,981,1819,0,0,0
Baja California Sur,7,34,11,95,284,958,1234,2470,2,17,4,30,6732,20394,24116,43686,9,53,51,126,0,0,0
Campeche,6,23,11,31,130,358,417,818,4,3,7,12,3935,13786,17580,34526,11,29,30,100,0,0,0
Coahuila,5,35,24,87,458,1652,2149,4343,637,2973,3128,7258,19166,70720,85533,161954,120,631,624,938,0,0,1
Colima,7,32,10,18,136,481,550,1453,108,326,381,400,4890,15164,17705,33552,14,41,38,161,0,0,0
Chiapas,23,100,63,157,484,1798,2248,4116,120,259,397,805,12345,43700,55158,99582,45,189,194,443,0,0,1
Chihuahua,72,261,230,158,488,2188,2859,6743,391,1630,2069,3648,17653,70605,93892,197716,201,1001,1231,2883,0,0,0
Ciudad de México,8,45,29,50,1059,3209,4118,8408,58,228,274,329,42326,146149,200498,440705,311,1378,1441,3930,0,2,0
Durango,2,11,9,22,275,850,1127,2462,0,0,0,0,11771,39037,50720,102471,24,97,95,406,0,0,0
Guanajuato,5,11,10,39,765,2103,3064,5585,7,147,152,177,29077,89646,112449,237890,120,519,546,1675,0,0,0
Guerrero,104,293,381,522,441,979,1565,2399,723,1753,2362,3757,13908,42179,58564,96359,44,120,148,338,0,0,0
Hidalgo,112,191,380,37,415,1139,1890,3322,0,3,2,1,16449,50588,70764,141754,119,295,306,564,0,0,0
Jalisco,18,107,70,99,673,2562,3171,7290,123,808,829,1581,27358,110635,136782,269089,514,2247,2225,5547,0,0,0
México,80,204,246,373,874,2785,4133,8545,262,1311,1543,2386,60916,198198,263150,569983,128,895,816,2834,0,0,0
Michoacán,12,48,35,35,351,1504,2074,3084,134,221,281,583,18924,62768,82570,131956,46,176,188,413,0,0,0
Morelos,7,88,97,165,296,805,1088,1273,10,55,43,104,8652,29269,37465,74568,15,89,92,162,0,0,0
Nayarit,31,45,77,28,467,1385,1551,2717,0,0,0,0,7573,23682,29557,59281,27,80,113,292,0,0,0
Nuevo León,12,82,50,146,938,3567,4472,11490,14,51,59,137,32031,118727,143505,328031,130,626,655,1538,0,0,0
Oaxaca,12,54,35,68,537,2050,2628,4548,298,1237,1575,2490,15299,51378,64912,121780,49,198,187,610,0,0,0
Puebla,2,18,15,68,454,1554,2084,4154,18,38,50,342,23294,83268,106617,237758,58,282,266,915,0,0,0
Querétaro,0,5,4,13,202,703,1080,1886,1,7,6,12,12540,42798,54593,106254,47,240,197,469,0,0,0
Quintana Roo,37,125,80,49,471,1308,1395,2945,2,2,1,4,7083,26636,30443,61206,11,63,68,187,0,0,0
San Luis Potosí,32,97,95,40,600,2124,2729,5993,1,7,9,160,18069,58005,72712,149275,90,453,508,1007,0,0,0
Sinaloa,95,240,140,111,533,1839,2224,4881,10,45,67,105,21293,69220,88074,153720,142,570,573,917,0,1,0
Sonora,12,69,29,160,323,1136,1354,3132,497,1760,1965,2788,17429,58477,72776,144874,142,671,626,2168,0,0,0
Tabasco,57,126,130,129,299,916,1313,2186,217,718,860,783,9845,29039,38442,68111,22,120,112,183,0,0,0
Tamaulipas,55,247,108,161,1133,4546,5361,10790,893,3730,4230,7576,24154,87227,103223,208465,122,579,580,1366,0,0,0
Tlaxcala,5,22,18,4,218,672,955,1787,2,29,41,28,8669,27507,35755,75156,16,106,86,349,0,0,0
Veracruz,172,509,499,309,770,2541,3442,6697,163,576,774,2326,27858,89919,119789,244268,74,314,389,851,0,0,0
Yucatán,11,66,80,26,111,393,487,654,9,17,24,3,9759,34977,43464,86404,33,148,130,305,0,0,0
Zacatecas,6,20,30,8,748,2467,3415,7044,224,821,1112,1791,17847,57720,72163,146778,67,333,323,987,0,0,0
