"cve_ent","poblacion","nombre","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020"
"000","127792286","Nacional","0","1","0","0","4","5","2","4","3","7","8","7","15","21","15","23","29","25","27","30","28","47","35","33","28","30","45","33","32","24","27","16","22","22","12","15","6","1","4"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","4","2","6","4","2","9","3","3","6","3","10","2","3","5","1","1","3","1","2","0","0","0","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"05","3218720","COAHUILA","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","4","1","3","0","0","0","1","3","0","1","1","0","0","0","0","0","0","0","0","0"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","2","3","2","3","2","4","1","1","1","1","0","0","2","0","3","0","1","0","0","0"
"09","9018645","DISTRITO FEDERAL","0","1","0","0","2","1","0","1","3","5","4","3","5","6","3","7","11","9","8","9","5","7","12","6","6","7","7","6","11","7","5","3","4","9","4","6","0","0","0"
