"cve_ent","poblacion","nombre","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020"
"10","1868996","DURANGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","2","1","2","1","0","1","7","0","1","2","1","1","1","0","4","2","6","0","1","1","6","12","8","18","22","3","3","6","11","15","20","12","27","14","21","20","14","3","1","0","1","3","4","6","3","3","3","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","3","3","5","3","1","2","3","0","1","0","2","3","1","8","10","2","3","8","9","13","27","25","40","14","46","53","85","87","70","62","17","85","88","78","98","85","32","17","68","69","82","57","53","50","15","61","65","100","89","103","9","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","3","7","2","2","2","0","1","12","6","13","12","16","10","12","27","19","16","19","9","7","5","11","14","14","10","14","7","10","18","12","16","16","9","0","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0","1","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","2","24","1","0","10","16","16","37","35","15","12","22","16","19","15","24","8","5","13","15","15","11","4","2","3","8","8","3","4","5","2","0"
"14","8409693","JALISCO","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","1","2","0","1","0","0","1","0","0","0","0","1","2","1","2","0","0","0","1","2","1","0","0","1","0","2","1","1","7","4","6","3","3","12","8","10","3","9","2","2","4","11","9","14","18","6","14","12","38","47","53","41","30","34","89","100","114","77","124","54","68","107","98","88","94","119","116","81","145","119","102","76","78","80","45","110","71","74","60","82","6","0"
"15","17427790","MEXICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","2","7","10","6","3","4","1","4","5","5","8","8","16","3","5","5","19","15","21","22","20","12","48","56","64","69","114","52","55","159","113","112","108","122","97","45","103","99","101","47","50","36","34","104","69","40","41","6","2","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","8","1","0","3","4","7","7","7","10","6","11","14","32","19","22","14","9","34","20","30","24","32","20","13","31","23","30","31","24","11","13","39","27","37","47","37","0","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","2","2","1","2","7","6","0","2","11","12","11","11","9","6","15","13","13","17","17","13","11","4","18","15","17","12","10","5","8","21","18","14","5","6","0","0"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","2","0","0","3","0","5","3","3","9","9","10","6","15","8","12","9","4","6","3","11","8","9","9","4","2","4","8","8","7","5","3","2","0"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","2","3","1","1","0","0","0","0","1","1","3","3","0","1","6","2","3","5","1","2","1","3","1","1","0","2","3","0","2","4","1","3","9","2","2","9","12","7","7","4","3","3","9","7","9","25","41","13","6","29","43","36","47","42","32","34","60","95","98","57","71","41","38","74","69","89","75","85","46","29","95","107","90","227","202","14","11","16","9","10","3","2","0","0"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","0","3","1","3","5","5","7","1","2","4","8","10","21","12","34","5","14","10","21","23","42","24","12","8","17","11","16","7","6","15","5","14","5","5","2","5","2","0"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","4","0","2","1","0","1","0","0","1","0","0","2","12","5","10","5","4","4","17","25","24","33","14","8","27","35","39","39","24","9","19","59","32","19","27","35","17","21","54","47","57","28","15","10","21","70","44","20","17","8","0","0"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","1","7","4","3","4","2","9","15","5","17","4","16","21","16","29","22","14","10","22","36","25","20","20","4","4","23","20","10","6","14","9","9","16","11","9","5","10","1","0"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","3","0","0","3","1","0","2","3","0","1","2","2","4","3","5","4","6","11","10","12","13","5","7","6","12","18","24","20","20","7","6","32","26","17","19","17","8","14","14","19","13","13","11","5","6","8","5","7","8","2","0","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","1","0","0","0","0","2","1","4","3","2","10","5","10","2","8","11","14","13","25","38","38","39","54","28","27","40","45","57","46","30","27","17","32","41","51","31","25","20","24","47","47","24","19","17","0","0"
"25","3156674","SINALOA","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","2","1","0","2","0","1","2","1","0","1","2","3","1","3","2","3","4","3","4","12","5","11","4","5","22","37","34","30","40","14","19","41","25","45","37","39","51","17","41","26","39","18","29","19","7","58","31","28","26","14","1","0"
"26","3074745","SONORA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","1","1","1","0","0","0","1","0","1","1","0","1","2","9","12","7","7","6","3","10","23","26","19","21","17","11","39","32","36","27","20","15","12","24","27","32","11","21","8","5","29","11","20","13","0","0","0"
"27","2572287","TABASCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","1","0","0","1","2","0","2","0","1","2","1","0","9","5","8","11","18","6","17","36","28","22","8","48","44","36","25","39","17","20","30","31","23","8","2","2","5","14","9","3","8","20","5","0"
"28","3650602","TAMAULIPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","1","2","0","2","0","3","0","2","2","0","1","0","5","3","5","3","4","10","11","13","11","21","13","5","11","20","22","30","24","27","9","13","23","29","47","15","38","10","21","57","56","69","65","59","48","0"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","2","1","1","0","1","1","3","9","5","5","4","7","5","8","12","20","8","8","19","13","21","14","14","4","8","15","20","17","26","19","7","7","50","46","12","10","25","0","0"
"30","8539862","VERACRUZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","2","7","3","4","1","5","2","4","5","0","2","3","2","3","3","9","4","2","6","27","16","13","20","6","2","18","39","48","59","39","20","14","56","60","48","57","40","13","9","48","47","51","23","21","21","14","50","28","14","7","5","0","0"
"31","2259098","YUCATAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","4","2","6","0","1","0","1","1","0","5","2","0","6","5","6","9","13","21","9","11","16","25","13","13","15","17","16","26","23","28","35","32","15","15","21","30","30","17","13","16","16","43","33","16","8","13","0","0"
"32","1666426","ZACATECAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","2","1","3","2","0","1","1","3","5","3","6","6","6","10","24","18","14","9","2","5","10","11","5","30","10","13","6","10","12","21","5","6","4","1","4","8","14","5","0","1","0"
