estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,1,1,0,3,133,216,238,658,4,11,10,60,9399,13656,17786,43208,45,90,78,162
Baja California,112,157,80,107,363,551,727,1616,35,54,94,454,20003,29320,37404,62508,240,475,477,915
Baja California Sur,10,12,7,39,317,507,598,1204,4,5,5,10,5890,8803,10582,20700,13,28,25,72
Campeche,4,11,7,21,95,168,182,382,1,1,3,8,4118,6529,8196,17473,7,16,13,44
Coahuila,6,15,8,36,430,880,1079,2273,1281,1624,1756,3898,21216,32435,40102,78767,191,344,328,492
Colima,7,13,2,7,140,228,273,525,116,129,162,81,4565,6867,7895,15283,12,22,16,73
Chiapas,22,46,30,55,368,775,976,1998,68,100,149,305,12721,20928,25901,48013,41,99,110,239
Chihuahua,110,115,119,40,689,1152,1490,3295,483,945,1174,2000,25167,36441,48770,99098,296,502,612,1731
Ciudad de México,10,22,15,13,977,1637,2030,4139,64,127,139,134,44348,75073,104425,229563,365,740,803,2084
Durango,1,2,3,13,246,430,545,1327,15,8,7,0,12476,18029,23829,53947,29,50,54,247
Guanajuato,4,7,3,18,676,956,1415,2578,55,45,49,25,26470,39863,51539,116756,134,248,254,805
Guerrero,91,110,142,212,336,414,650,1077,469,640,904,1757,14105,18703,25829,44567,31,53,50,175
Hidalgo,95,52,92,8,409,565,905,1501,0,3,1,0,15627,24875,34515,67977,76,159,156,290
Jalisco,17,45,28,38,772,1302,1577,3771,206,427,434,916,38308,56462,70294,138804,698,1231,1253,3047
México,52,65,73,123,1092,1392,2000,3984,261,510,604,1087,56916,94474,129102,281080,166,494,450,1227
Michoacán,14,25,15,19,504,721,1025,1693,40,88,125,285,19869,29730,39648,70423,56,98,98,240
Morelos,27,17,14,78,264,331,519,612,9,18,13,59,9628,13890,18201,36430,20,39,52,54
Nayarit,10,10,28,7,378,721,750,1370,0,0,0,0,7428,11027,14132,28755,17,36,52,134
Nuevo León,22,42,22,85,1005,1757,2162,5392,21,28,33,59,31908,57281,69772,156926,144,347,365,760
Oaxaca,8,26,16,35,562,1023,1288,2149,389,655,827,1143,14619,24638,31162,61966,51,101,87,309
Puebla,3,14,15,34,430,725,954,1930,10,15,24,58,24051,39392,49872,114850,47,131,146,472
Querétaro,1,2,2,6,227,372,554,893,0,1,3,6,13516,20132,26118,52438,55,137,120,248
Quintana Roo,33,58,36,26,247,521,572,1766,1,0,1,2,7599,12956,14868,30451,21,35,36,109
San Luis Potosí,17,31,24,20,631,1008,1254,2679,4,4,7,108,17614,25764,32619,70971,121,246,261,422
Sinaloa,36,102,62,59,491,778,935,2460,17,32,46,64,21381,32236,41623,74353,175,287,274,452
Sonora,189,121,91,73,362,544,648,1421,558,872,986,1292,18200,26341,34080,71003,175,305,321,1077
Tabasco,20,36,16,47,324,452,640,983,126,318,370,360,8569,13407,17604,31132,19,50,55,91
Tamaulipas,59,58,47,63,1111,2277,2583,5085,1078,1972,2262,3548,24740,41767,49645,101364,153,310,305,562
Tlaxcala,8,8,10,0,204,337,482,907,72,36,42,5,7724,13134,17087,36579,32,69,56,177
Veracruz,131,228,212,151,790,1215,1725,3170,151,329,451,1271,27787,43988,59739,121052,93,161,204,376
Yucatán,7,13,14,6,161,207,259,298,14,8,7,0,9504,15726,19784,42117,32,55,61,164
Zacatecas,2,3,1,6,811,1191,1670,3500,303,410,596,865,17319,26612,33392,74512,78,173,156,472
