estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,2,1,6,67,653,764,2056,5,33,37,183,6328,47281,60656,136335,11,218,232,556,30,24,25
Baja California,55,659,338,479,186,1899,2519,5839,28,174,242,1542,12303,91055,114378,199422,141,1431,1412,2839,34,30,24
Baja California Sur,14,102,21,212,328,1636,2090,3938,4,21,10,65,5325,35392,42632,71826,13,99,110,202,18,17,10
Campeche,7,39,29,45,99,559,671,1379,0,4,11,28,3961,23463,29510,54395,8,43,44,141,5,6,2
Coahuila,13,52,41,139,278,2455,3195,7466,148,4249,4510,10915,10725,103328,125509,243114,76,881,845,1461,57,40,32
Colima,10,64,31,36,111,789,941,2514,99,663,781,873,3366,25213,29609,53483,12,73,71,249,2,2,2
Chiapas,9,161,106,382,308,2889,3614,6428,71,513,770,1806,10297,71785,90390,158797,41,298,328,631,13,14,5
Chihuahua,60,418,395,412,323,3351,4255,10671,323,2846,3524,5071,15097,108539,144422,305447,201,1476,1744,3970,7,7,6
Ciudad de México,12,78,46,91,653,5011,6456,13517,75,383,494,527,43147,245704,335907,654879,311,2142,2131,5948,292,292,177
Durango,3,19,18,35,195,1356,1863,3731,0,0,0,0,6941,61078,79239,154962,15,175,159,513,3,7,3
Guanajuato,5,17,18,72,539,3360,4873,8911,32,254,276,209,24019,148648,187109,362522,85,776,830,2591,16,25,28
Guerrero,64,472,587,1322,288,1587,2486,4161,486,2952,4176,6210,13033,69520,96897,156411,26,191,223,486,15,16,9
Hidalgo,66,345,663,575,308,1756,3000,5417,3,11,10,2,17219,89289,121604,220647,39,341,345,898,20,19,13
Jalisco,21,176,124,306,480,4140,4946,11091,187,1409,1467,2488,19576,174158,213921,392625,323,3238,3324,7459,38,73,47
México,82,500,579,777,639,4524,6587,13557,163,2044,2420,3968,60140,334905,446957,872404,127,1403,1307,4384,95,104,76
Michoacán,8,69,42,59,473,2509,3382,4875,25,332,452,828,16222,102976,135139,210112,37,245,264,669,12,16,13
Morelos,17,129,151,426,155,1231,1722,2325,27,145,129,191,7440,47969,61002,113932,14,129,143,222,10,7,7
Nayarit,47,167,142,59,269,2020,2488,4379,0,0,0,0,5731,38839,49314,93877,7,130,165,474,4,4,5
Nuevo León,20,147,94,323,544,5354,6790,17934,25,93,99,210,19383,184782,222609,504608,109,955,961,2378,24,64,24
Oaxaca,6,135,113,131,471,3205,4285,7574,512,2214,2949,4359,15247,88293,111634,188817,31,317,323,915,10,8,14
Puebla,5,32,26,123,422,2596,3435,7215,9,53,90,630,26700,145202,185622,376082,48,413,415,1340,73,65,60
Querétaro,2,7,6,30,158,1075,1638,3085,0,7,9,31,10676,70954,90806,164948,25,345,295,816,11,19,17
Quintana Roo,38,229,137,99,162,1967,2105,4464,2,3,5,5,7680,47004,53942,93448,22,108,125,302,42,51,24
San Luis Potosí,43,203,220,79,371,3262,4203,9231,19,112,164,199,12296,92205,116482,229558,33,640,698,1627,15,16,19
Sinaloa,48,415,277,203,422,3054,3763,8025,4,71,84,200,15694,113192,144619,245276,125,951,935,1384,60,41,33
Sonora,15,123,55,272,387,1825,2162,4924,242,2626,2972,4784,12570,90938,115227,222773,79,947,896,3334,17,9,18
Tabasco,16,197,204,312,279,1509,2106,3765,320,1422,1723,1257,9521,52021,68986,110622,12,154,160,253,56,40,43
Tamaulipas,12,372,209,463,974,7079,8398,17302,829,6164,6990,11975,16766,138031,164915,329774,58,832,834,2049,14,11,9
Tlaxcala,3,40,33,24,115,1088,1496,2926,4,43,60,48,8127,46402,60115,120640,10,145,121,529,5,5,4
Veracruz,167,885,873,525,648,4214,5745,10866,228,1024,1306,3527,26389,155272,206692,380952,73,479,556,1298,14,20,17
Yucatán,7,95,100,67,38,536,691,977,4,28,34,8,8270,58759,72976,133132,24,218,216,434,24,34,28
Zacatecas,0,25,36,54,475,3783,5281,10380,175,1372,1924,2527,12845,94742,118320,216886,45,501,485,1440,6,7,3
