estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,0,0,0,97,91,99,314,6,5,3,12,7566,5701,7622,20337,50,39,43,64
Baja California,43,45,18,34,307,252,326,682,33,30,48,227,15727,12835,16764,28724,272,245,252,385
Baja California Sur,2,2,3,17,281,188,252,565,1,3,0,2,4155,3612,4346,8980,11,12,17,52
Campeche,2,3,1,13,65,71,69,181,0,1,0,7,3819,3119,3978,8170,7,9,6,21
Coahuila,6,5,3,17,503,470,565,1052,656,565,576,1486,16996,13923,17945,36363,144,166,146,207
Colima,2,1,1,4,133,104,127,247,105,59,70,39,3478,3075,3467,7501,7,13,5,40
Chiapas,22,18,12,25,448,396,499,927,59,50,68,120,11841,9530,11242,21422,61,58,57,73
Chihuahua,46,22,35,16,612,484,638,1611,559,479,667,739,20061,15210,21117,48075,271,237,266,1043
Ciudad de México,5,7,3,3,951,839,994,1970,103,77,98,66,48677,36720,51757,111579,427,372,434,1080
Durango,3,0,3,5,233,210,242,691,0,0,0,0,9907,7702,10305,26325,31,25,28,144
Guanajuato,2,3,0,6,582,461,651,1183,2,16,19,9,22544,17713,23011,53355,130,124,136,371
Guerrero,39,27,35,73,237,164,235,476,383,250,328,762,10469,7279,9894,18431,24,21,14,65
Hidalgo,8,6,4,2,350,235,404,633,3,2,1,0,15241,11047,15798,29363,70,86,74,156
Jalisco,19,18,12,10,697,551,639,1941,215,188,193,480,29665,22904,29396,69074,509,513,550,1673
México,33,11,22,47,765,572,748,1829,273,297,359,511,59939,44667,61835,130887,223,281,256,587
Michoacán,9,6,5,6,403,276,386,822,35,31,37,160,17659,12555,17224,34219,50,33,46,95
Morelos,1,0,1,8,244,125,218,253,9,6,5,28,7600,5968,7613,16002,17,16,15,27
Nayarit,10,4,11,3,390,360,358,618,0,0,0,0,6300,4730,6157,13848,26,22,27,66
Nuevo León,12,14,8,29,1093,823,1022,2549,17,12,14,25,33582,28202,35279,72777,160,186,199,428
Oaxaca,18,16,7,5,603,516,605,999,349,322,397,496,14169,11416,14591,28902,33,38,36,166
Puebla,2,1,3,13,371,274,355,754,1,3,3,30,15757,14430,18993,48523,77,63,76,237
Querétaro,2,1,2,1,243,188,273,426,1,0,2,3,11297,8582,11498,24785,67,76,63,132
Quintana Roo,19,21,10,12,278,237,249,1086,0,0,0,2,7301,5917,6682,13977,16,15,29,56
San Luis Potosí,15,11,10,6,607,473,546,1222,1,0,5,68,14086,10768,13775,31282,139,91,124,207
Sinaloa,57,43,25,20,383,356,428,1160,7,13,14,32,18530,14044,18640,35024,150,138,133,203
Sonora,7,7,2,24,267,228,278,656,370,364,397,615,13952,10773,14355,33197,146,139,137,481
Tabasco,20,12,10,23,257,206,266,393,199,172,180,103,8349,6265,8136,14154,23,23,25,50
Tamaulipas,11,11,4,23,1173,1113,1283,2397,1004,943,1116,1486,22368,19288,23252,47023,163,161,132,256
Tlaxcala,2,2,6,0,220,184,258,425,5,3,2,3,7439,6590,8545,17245,34,38,33,79
Veracruz,117,84,80,55,723,588,782,1465,145,180,213,521,27900,20372,28180,56023,95,77,101,177
Yucatán,5,3,3,3,99,90,92,177,0,0,0,0,9002,7478,9457,19864,26,29,23,85
Zacatecas,1,2,0,2,706,507,754,1566,243,166,251,338,14557,11664,14718,34009,100,80,83,212
