cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,13,10,5,5,15,23,25,27,43,27,18,53,34,50,49,49,34,40,84,73,89,62,92,78,85,154,159,182,188,157,160,153,261,276,248,264,304,194,207,353,339,320,300,274,230,247,489,344,343,433,423,254,244,570,531,578,513,601,354,305,670,568,607,642,671,308,340,786,679,747,672,684,385,327,823,783,909,777,783,394,410,1029,852,856,720,707,365,370,839,815,734,706,705,355,251,724,643,656,544,630,268,259,758,604,741,598,628,270,245,668,578,595,432,564,197,168,478,330,250,134,82,28,5,3
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,13,16,9,8,14,7,8,28,12,12,19,23,27,20,32,29,23,26,24,16,27,43,21,35,29,43,45,25,69,58,101,77,103,43,27,66,66,101,79,96,21,35,119,101,90,112,129,47,46,168,126,148,142,131,73,39,190,195,152,170,197,79,48,202,193,198,165,244,122,50,218,196,167,155,104,70,29,172,163,113,116,129,43,32,136,130,122,111,108,65,39,129,117,90,54,1,1,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,19,32,29,33,14,31,47,28,43,36,32,29,49,53,48,54,49,42,27,29,61,55,58,41,52,25,25,47,54,45,49,56,23,19,66,74,37,61,50,26,31,61,51,54,46,58,25,20,88,54,53,57,57,38,31,63,56,47,38,59,21,17,33,42,59,27,36,15,18,51,29,38,36,35,9,12,41,35,23,33,38,13,17,48,40,34,15,3,1,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,18,15,19,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,21,11,23,43,33,29,38,23,16,42,40,33,45,57,27,20,49,35,42,46,44,31,33,77,49,48,43,50,44,24,59,60,61,53,61,42,19,78,63,43,61,78,42,32,75,54,62,55,49,19,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,12,17,16,6,6,5,8,20,27,22,28,27,22,9,39,62,26,24,29,26,21,42,36,67,38,74,30,11,46,39,61,34,50,35,26,80,117,69,64,68,42,21,83,93,75,132,147,77,41,202,154,219,199,243,163,103,276,212,178,228,205,173,101,291,296,295,304,307,200,166,384,356,410,287,298,213,174,495,419,425,417,219,223,182,340,245,185,201,127,55,9,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,2,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,18,12,12,15,6,14,25,34,24,24,23,15,28,54,66,69,66,79,65,18,122,74,75,102,81,83,36,101,80,92,126,123,113,46,152,154,143,186,167,136,54,169,160,169,155,146,158,71,197,152,186,168,162,135,43,204,182,167,178,174,139,70,189,171,214,205,209,160,52,261,227,182,150,166,36,27,79,88,55,32,22,2,4,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,2,5,6,7,5,4,2,8,15,6,15,9,13,4,15,21,16,19,14,11,8,24,13,23,12,8,15,5,27,16,28,21,30,25,18,31,22,27,32,39,43,24,36,43,44,46,41,43,38,47,37,49,64,47,48,37,73,72,90,106,105,76,67,131,129,121,145,174,146,81,169,166,201,169,153,121,63,198,180,195,207,209,124,92,310,247,258,308,310,175,146,449,414,435,504,440,216,164,504,418,366,458,344,183,138,345,355,307,274,271,167,122,329,329,304,295,264,140,153,346,289,138,49,33,6,0,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,3,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,5,2,7,9,10,1,2,3,9,12,6,8,12,4,10,10,9,14,26,26,19,47,34,29,41,49,28,17,47,61,42,37,35,22,12,52,38,36,31,37,27,21,39,49,47,44,38,30,28,52,43,39,33,39,34,22,55,42,41,32,28,24,16,50,35,37,38,44,18,21,52,49,53,57,33,21,32,50,65,57,49,34,35,30,67,38,50,41,46,31,5,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,3,8,10,9,7,7,3,22,15,24,11,13,8,10,32,23,26,8,22,17,22,22,17,20,31,34,45,23,45,42,34,47,23,31,31,43,42,38,34,32,69,29,32,25,41,39,26,19,22,44,37,27,39,21,18,13,43,34,44,41,44,38,25,49,32,42,43,47,25,22,45,62,43,38,39,22,29,52,49,56,56,49,28,52,88,61,64,68,82,39,53,109,92,82,98,134,60,61,172,143,128,149,127,73,61,191,155,166,166,152,88,72,187,176,142,132,94,7,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,18,9,10,14,14,11,28,17,34,13,26,12,19,32,23,24,34,29,25,15,34,26,39,37,56,20,20,49,39,59,38,51,24,19,52,55,77,78,79,59,49,114,93,86,77,63,29,23,116,103,115,96,92,47,40,124,119,117,122,98,93,38,130,136,140,125,152,75,53,194,178,193,203,235,149,91,301,201,145,51,11,1,0,0
