estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,0,0,2,114,148,165,459,9,9,8,30,8311,9436,12534,31032,34,63,55,119
Baja California,61,86,39,67,348,397,530,1166,35,43,70,331,17051,20425,26416,44633,210,348,362,638
Baja California Sur,4,5,4,23,348,359,429,869,3,4,2,8,5531,6094,7401,14645,11,20,20,61
Campeche,10,8,6,18,115,123,132,285,2,1,2,8,3510,4676,5931,12757,7,12,10,35
Coahuila,9,11,6,24,449,691,818,1704,727,1017,1087,2644,18896,22785,28451,56442,163,248,232,329
Colima,6,6,2,5,130,164,197,402,46,81,94,55,3655,4780,5417,11298,8,14,12,59
Chiapas,24,32,22,37,448,614,751,1499,66,75,109,186,12524,15319,18657,34210,53,79,89,114
Chihuahua,64,57,66,30,722,813,1079,2434,495,728,908,1030,22071,24986,33980,73178,258,354,422,1330
Ciudad de México,16,16,10,9,842,1195,1485,3015,65,106,134,100,46547,56296,78808,168151,372,558,620,1576
Durango,1,1,3,9,277,329,400,1024,2,2,0,0,11385,12580,16822,40118,22,35,40,196
Guanajuato,3,5,1,13,583,682,1013,1884,5,18,22,20,24208,28233,36699,83671,108,180,188,607
Guerrero,99,72,89,157,320,284,441,783,487,454,617,1309,13019,12691,17694,31445,42,42,40,119
Hidalgo,39,19,30,4,399,386,652,1050,1,3,1,0,16462,17945,25386,47720,52,110,102,222
Jalisco,25,36,20,25,893,972,1111,2859,274,325,330,777,35011,38765,48628,103247,711,877,897,2424
México,52,38,47,85,871,941,1304,3088,188,384,463,741,57671,70082,96015,204122,193,412,363,912
Michoacán,15,18,8,12,524,485,740,1261,75,67,97,182,18767,21108,28371,52803,64,69,80,179
Morelos,3,2,2,24,243,223,363,427,11,13,9,35,8882,9725,12738,26109,40,33,38,36
Nayarit,13,7,21,4,385,530,563,982,0,0,0,0,6946,7746,9985,21207,22,28,43,98
Nuevo León,20,28,14,53,1062,1307,1605,3938,14,16,24,44,31544,42629,52524,112558,182,274,293,626
Oaxaca,9,22,12,19,613,776,969,1575,362,495,598,781,14702,18079,22983,44875,44,71,64,234
Puebla,5,8,6,26,427,498,658,1382,15,10,15,42,21645,27024,35651,80796,72,105,125,368
Querétaro,0,1,2,4,238,285,414,669,2,1,3,5,12654,14177,18557,38271,63,107,95,200
Quintana Roo,30,40,21,18,360,414,432,1488,0,0,0,2,7612,9481,10744,21976,20,23,27,75
San Luis Potosí,17,22,16,17,612,734,897,1945,2,2,5,94,16226,17923,22846,50305,171,185,201,339
Sinaloa,59,77,51,36,452,540,675,1851,23,26,35,52,19302,22556,29526,54011,112,194,192,319
Sonora,6,12,4,45,282,368,439,998,510,612,685,945,15758,17718,23417,51286,172,216,231,787
Tabasco,9,20,12,39,290,317,450,659,209,264,297,243,7942,9717,12693,22254,38,41,45,72
Tamaulipas,19,21,13,42,1267,1707,1956,3815,1097,1480,1676,2329,23496,30085,35959,73239,146,222,217,416
Tlaxcala,2,2,8,0,173,249,366,681,5,3,3,5,7362,9736,12761,26279,22,51,42,132
Veracruz,144,155,153,98,780,913,1236,2268,229,273,356,967,27421,31880,44049,87577,94,124,148,290
Yucatán,14,10,10,5,123,138,167,241,1,1,0,0,9071,11466,14540,30761,32,42,42,123
Zacatecas,0,2,0,4,789,847,1203,2549,286,273,430,607,16312,18838,23847,54136,88,131,120,349
