cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,10,4,2,1,11,1,1,16,12,14,4,26,9,4,2,7,1,11,0,8,0,4,2,2,4,3,3,2,2,3,1,2,3,1,1,9,3,6,5,11,10,1,12,8,8,10,9,5,3,18,14,12,11,28,7,6,19,23,9,15,17,8,5,15,8,16,22,22,4,4,22,12,24,33,34,23,11,24,11,21,36,83,87,206,922,746,36
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,0,2,9,13,5,7,1,1,4,1,4,12,3,0,1,6,7,14,9,9,1,3,1,16,13,7,7,5,0,3,5,1,5,4,4,4,9,3,3,3,5,0,2,2,7,3,3,3,3,7,11,12,54,24,15,1,1,8,5,7,6,5,0,4,2,6,3,9,2,0,4,2,3,1,4,29,8,2,11,9,76,90,95,61,40,236,277,2
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,4,1,0,1,1,4,2,1,1,0,0,0,3,2,4,1,0,1,6,2,3,2,5,0,2,3,1,2,7,6,1,0,2,2,1,2,2,2,0,6,5,2,4,1,2,0,1,1,3,1,7,1,1,3,4,1,4,3,4,0,1,4,9,4,9,3,7,13,10,13,10,21,36,54,117,166,11
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,20,13,10,9,16,13,18,15,9,6,25,20,28,22,22,23,3,31,35,48,61,41,16,29,42,44,46,51,43,9,9,65,52,46,39,52,33,23,66,64,24,47,63,32,16,49,36,61,32,54,22,19,42,34,15,24,42,53,39,212,83,33,30,56,78,52,243,306,45
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,2,0,0,1,3,1,5,6,4,5,1,3,2,7,2,3,6,3,4,9,7,12,25,21,8,11,25,27,11,32,10,8,5,26,43,61,34,47,41,23,56,60,52,63,76,44,36,78,70,90,84,98,39,44,68,100,62,61,72,34,42,127,113,132,95,144,66,50,111,115,129,157,153,56,59,94,161,114,163,168,82,46,133,88,192,171,172,58,39,198,221,258,329,419,75,104,399,366,442,480,592,72,102,436,436,478,414,326,72,50,416,445,502,436,406,115,79,470,426,662,960,1351,474,297,1463,1267,114
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,3,1,3,0,1,1,3,0,1,3,4,0,2,1,3,4,7,21,8,16,6,3,24,27,14,28,23,13,5,24,17,38,26,22,8,12,15,24,22,29,25,12,15,41,27,39,51,236,146,77,431,356,33
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,3,0,1,1,0,3,4,14,5,4,8,5,0,3,2,2,1,2,0,3,2,2,0,0,2,1,0,2,1,1,3,2,15,5,4,1,2,0,7,2,1,6,1,1,2,4,2,6,3,1,0,0,3,0,4,5,2,1,0,4,0,2,4,5,0,1,1,1,3,3,3,1,2,0,5,5,6,15,8,19,43,96,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,1,1,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,0,0,0,0,2,0,2,1,2,1,1,0,1,4,3,1,1,1,2,3,9,7,10,11,17,1,0,5,5,3,16,75,75,2
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,4,7,6,4,0,0,4,2,6,6,6,3,0,11,5,3,3,1,1,3,7,3,7,2,9,4,2,7,6,8,3,4,4,3,13,8,8,9,13,3,4,8,15,12,12,17,6,4,19,20,10,9,10,12,13,10,19,32,39,33,16,9,35,51,27,38,44,42,23,32,46,50,37,60,19,11,29,87,39,37,45,30,16,42,88,57,83,62,26,42,283,508,30
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,2,3,1,0,3,6,6,7,3,2,2,6,3,12,2,4,0,2,3,9,9,16,23,8,1,14,2,6,5,5,4,6,4,7,8,4,5,5,9,8,7,4,2,4,3,2,4,9,4,4,6,2,2,11,9,8,7,14,10,8,12,9,11,13,9,7,3,15,3,4,25,11,9,1,9,6,16,19,42,19,13,87,139,3
