cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,2,2,0,0,2,3,3,2,3,3,2,3,3,6,4,1,3,1,3,2,2,2,1,3,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,6,3,3,1,4,1,8,3,1,2,1,5,2,3,3,8,5,2,10,4,6,4,5,5,5,7,2,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,0,2,2,0,7,5,1,5,2,2,7,1,7,8,7,5,8,9,5,9,7,9,6,8,10,4,2,2,1
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,2,0,4,3,3,3,5,3,0,3,3,2,2,2,4,7,8,3,2,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,3,1,1,2,1,4,3,4,5,4,10,6,2,5,10,13,11,11,18,13,11,21,14,22,21,20,21,31,28,35,25,20,33,24,38,36,28,35,23,21,22,21,15,15,14,12,9,5,2,7,7,0,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,0,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,1,3,0,2,4,4,3,2,2,4,5,1,2,1,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,2,0,3,3,5,6,6,2,5,7,3,9,8,6,10,12,8,11,9,12,7,4,8,3,3,3,5,1,2,2,3,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,3,1,2,3,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,1,2,1,1,3,2,1,3,1,1,0,2,2,3,3,4,2,2,2,0,1,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,1,4,3,4,4,4,3,1,2,5,6,5,3,3,2,2,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,3,4,7,1,2,5,5,2,3,4,2,5,5,6,6,7,3,5,5,3,4,6,4,11,5,5,7,4,9,8,8,8,8,6,2,2,7,6,5,2,3,3,3,2,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,0,0,0,0,4,2,3,0,2,5,8,6,0,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,4,5,3,0,1,4,6,7,10,8,6,7,16,10,10,13,8,12,10,11,4,8,3,5,6,6,4,6,8,5,8,4,6,5,2,2,4,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,1,2,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,6,4,11,5,8,7,6,11,10,9,5,9,8,12,4,6,10,17,6,9,9,3,2,6,11,4,14,8,5,3,5,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,2,2,1,1,1,0,3,1,1,0,1,1,0,1,0,0,2,0,1,3,2,0,3,1,3,2,1,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,9,8,10,9,5,8,8,8,15,12,7,13,4,12,7,16,11,11,11,8,9,8,14,11,13,6,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,4,3,3,3,3,3,3,1,2,0,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,1,1,1,2,2,4,4,5,3,2,3,1,6,3,3,2,7,1,1,10,8,4,1,5,7,4,1,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,1,0,1,1,2,6,4,3,5,2,4,9,10,5,3,11,3,4,14,10,9,11,13,9,15,17,16,19,11,5,14,12,4,3,2,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,2,1,1,0,1,1,3,1,4,2,2,1,1,3,2,1,1,3,2,1,6,4,3,1,0,4,3,7,3,3,1,1,4,0,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,13,8,12,21,19,25,31,29,27,53,55,45,50,60,64,64,70,77,85,71,91,97,112,128,122,130,130,154,160,169,158,138,185,173,193,187,172,199,190,186,170,177,162,163,166,159,137,144,139,135,85,51,2
