cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,4,2,1,2,5,3,3,7,6,8,2,2,4,1,4,4,13,14,29,10,10,14,10,13,9,12,11,7,26,17,14,16,14,9,11,33,23,29,37,43,27,23,40,53,41,52,38,33,20,55,70,57,61,55,52,21,115,97,106,140,140,88,68,175,167,178,214,169,123,80,192,227,183,199,210,114,82,331,314,320,309,310,164,107,301,257,161,98,20,6,0,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,26,27,31,18,13,40,28,52,28,46,36,40,34,33,47,58,47,68,59,50,41,126,108,143,137,129,65,71,137,115,109,110,95,61,76,146,102,116,121,116,86,64,147,100,140,154,138,71,96,136,147,104,99,125,47,59,163,95,58,79,20,3,1,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,18,11,15,19,18,22,18,25,24,28,30,25,21,27,33,29,41,37,33,24,25,51,56,45,66,80,54,26,81,70,73,92,79,51,40,89,70,79,94,74,47,42,95,77,65,64,66,50,29,87,110,77,72,100,44,43,76,72,74,75,84,52,25,70,73,71,49,54,17,0,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,8,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,28,16,30,20,25,49,26,28,22,49,38,29,57,65,17,31,53,72,59,61,73,41,38,93,129,139,121,163,126,80,223,194,206,170,216,98,68,253,245,234,217,169,110,87,206,202,187,204,170,113,76,187,176,109,55,70,11,0,1
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,15,23,25,28,43,27,18,52,34,49,49,48,34,40,83,71,89,61,90,77,85,153,159,179,188,153,160,154,259,272,247,263,304,191,207,346,331,322,298,271,227,237,484,341,335,432,417,252,238,563,518,566,498,568,341,291,654,543,583,596,635,283,322,741,614,687,636,644,362,314,789,756,866,718,732,370,382,969,744,794,664,652,331,339,732,676,636,584,560,280,199,589,375,210,125,88,19,4,2
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,26,24,16,27,43,20,35,29,43,45,26,69,58,100,77,103,44,27,66,66,101,79,95,20,35,120,101,90,112,129,47,46,166,125,147,142,133,74,37,190,193,153,167,188,74,46,197,192,194,162,228,110,38,167,89,20,38,2,0,0,1
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,18,32,29,33,14,29,47,28,43,36,31,29,48,53,47,54,49,41,27,27,59,54,56,39,52,25,25,47,53,45,48,56,23,19,66,71,36,57,47,25,31,54,45,51,44,49,22,17,74,49,55,50,56,34,29,50,51,44,34,53,19,14,27,33,36,23,11,1,1,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,21,11,24,43,33,29,38,23,17,42,41,34,45,56,27,20,50,37,43,46,46,29,33,73,49,47,40,36,23,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,27,23,27,27,22,9,39,62,26,24,29,26,21,42,36,67,38,74,30,11,46,39,61,35,51,35,26,79,116,68,64,67,41,21,78,93,72,124,143,77,39,202,147,213,192,239,151,97,215,164,160,219,201,125,59,131,104,83,83,75,48,3,1
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,25,34,24,24,22,16,28,54,66,70,67,79,66,18,124,72,74,102,81,83,36,102,80,91,126,122,116,45,153,154,146,187,164,86,51,136,115,103,113,149,159,69,191,148,170,148,106,82,35,101,105,85,74,56,4,0,0
