cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,27,24,16,27,43,20,34,29,44,44,26,69,58,100,77,103,44,27,66,66,99,78,96,20,35,116,104,90,112,114,38,43,151,90,43,5,5,3,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,7,3,2,4,9,10,10,8,11,9,18,27,18,28,28,27,13,26,44,25,39,33,24,24,41,40,37,47,46,31,18,20,39,38,37,25,35,11,16,37,45,34,42,44,18,17,45,53,30,42,32,16,18,44,38,37,25,10,0,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,13,8,21,30,35,34,29,23,12,22,39,25,22,32,16,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,26,23,27,27,22,10,40,63,26,24,29,27,21,44,36,67,38,72,28,9,42,38,63,34,49,35,25,73,107,65,59,58,38,19,67,84,37,38,27,12,3,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,24,33,24,23,22,16,28,53,67,69,67,79,64,18,123,70,70,94,75,81,34,98,78,87,122,112,82,40,69,71,49,68,44,31,0,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,13,18,13,10,6,22,12,20,11,8,14,4,22,14,24,19,29,23,17,28,21,27,31,38,39,23,33,42,44,44,32,41,31,48,30,43,59,42,44,32,72,68,87,95,99,73,64,125,125,119,139,166,128,79,162,147,198,152,133,104,54,163,132,146,141,139,46,2,1
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,1,2,3,8,12,6,8,12,4,8,11,9,13,27,27,20,49,34,29,41,50,27,19,49,60,44,33,35,22,12,51,31,33,27,33,23,21,32,41,32,34,29,16,6,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,20,26,8,22,17,22,22,18,21,32,34,42,23,43,42,34,47,23,31,32,44,42,38,34,32,69,30,33,23,41,39,26,19,22,45,38,27,41,21,20,13,45,35,43,39,44,39,24,49,32,42,43,44,24,23,46,59,44,29,17,8,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,6,4,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,29,17,34,13,26,13,19,31,23,23,34,29,25,15,35,24,38,37,55,20,20,48,38,58,35,47,22,18,38,50,64,66,58,3,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,49,48,40,38,31,31,62,46,48,70,74,46,38,77,51,56,64,58,51,30,76,52,83,63,61,52,41,71,84,78,101,98,69,63,139,102,121,117,143,59,78,164,181,188,148,178,121,63,184,148,138,66,43,8,1,2
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,6,19,9,15,33,15,18,27,23,32,26,62,52,40,38,55,43,28,65,57,94,61,93,51,59,133,92,93,99,111,86,73,172,170,180,177,128,92,86,118,12,0,0,0,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,17,11,15,19,27,30,47,38,44,57,48,40,73,84,66,62,65,43,41,59,57,50,84,53,48,46,85,72,96,104,81,53,65,114,87,116,127,145,86,79,122,107,161,140,137,97,81,176,196,220,214,166,101,72,199,148,167,172,149,111,48,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,5,3,5,9,4,9,13,19,16,28,31,14,8,25,18,28,33,25,38,34,26,40,35,18,30,29,25,39,31,44,41,29,26,21,34,39,40,32,62,48,16,61,49,64,68,83,45,34,97,99,94,55,84,45,45,84,64,57,34,10,2,1,1
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,15,9,16,6,24,17,23,17,20,20,15,35,39,38,21,36,29,25,43,49,40,48,42,29,15,58,37,36,43,42,38,23,59,42,50,47,34,2,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,35,45,30,51,48,44,30,69,74,74,63,66,65,58,96,102,107,118,104,79,70,142,122,132,169,189,130,85,157,149,173,171,172,103,103,201,179,180,161,160,116,87,162,118,92,73,29,0,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,8,2,8,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,6,26,20,22,34,33,24,20,37,42,32,60,26,28,30,49,44,34,37,35,19,26,43,52,59,57,39,31,49,54,51,57,70,59,33,30,52,54,61,59,46,31,26,53,45,42,32,16,14,0,1
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,1,6,3,2,7,1,9,2,2,8,5,4,3,4,10,9,4,7,7,2,5,5,11,9,9,4,2,9,3,8,13,8,2,3,6,0,15,6,9,10,6,10,11,4,7,14,7,3,15,12,9,16,14,6,0,0
"000",127792286,"Nacional",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,2,1,0,1,4,2,9,27,28,60,49,36,68,91,99,107,100,66,48,130,164,141,173,211,159,142,306,278,317,300,335,219,224,534,449,516,406,485,404,428,843,839,859,882,1015,722,664,1338,1300,1240,1321,1502,947,930,1669,1677,1679,1659,1269,1291,1157,2357,1911,2103,2192,2233,1393,1246,2697,2641,2865,2749,3054,1819,1472,3520,3122,3394,3427,3469,1852,1640,4061,3752,3977,3688,3685,2193,1607,3880,3210,2769,2138,1467,473,97,13
