estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,2,1,5,86,581,673,1769,2,27,23,139,8675,40501,51704,118973,28,203,213,480,4,4,0
Baja California,61,552,289,387,382,1703,2265,4972,19,144,213,1387,12070,78954,98229,171845,160,1280,1266,2412,8,4,4
Baja California Sur,15,85,18,180,244,1372,1783,3351,3,21,8,51,6894,30073,35856,60667,18,82,89,174,1,1,0
Campeche,4,30,22,41,98,485,571,1185,3,4,10,20,4126,19539,24525,46774,6,33,39,114,0,0,0
Coahuila,7,44,33,117,380,2215,2813,6353,422,3931,4171,9179,12826,91965,111068,213879,95,774,767,1269,3,1,2
Colima,6,56,23,32,135,674,800,2157,150,538,644,745,4389,21607,25257,45895,10,62,59,202,2,1,1
Chiapas,21,148,86,289,539,2535,3125,5584,98,376,598,1337,10470,61213,76083,135952,31,258,256,562,2,1,1
Chihuahua,42,353,326,296,495,2957,3725,9172,620,2431,3007,4549,14704,93454,123414,268427,187,1296,1575,3601,2,1,1
Ciudad de México,9,60,43,78,961,4373,5595,11623,57,307,376,429,44254,203453,277101,575735,283,1804,1834,5216,30,34,11
Durango,3,17,16,33,279,1188,1607,3262,0,0,0,0,9491,53248,68895,134936,18,157,141,461,4,3,2
Guanajuato,1,13,14,55,596,2906,4196,7633,30,232,251,201,25496,126441,157977,317316,109,675,737,2263,4,1,3
Guerrero,86,398,520,968,310,1349,2147,3433,505,2496,3548,5181,12826,58509,80993,132944,35,166,197,416,4,2,2
Hidalgo,70,307,579,291,351,1537,2544,4665,3,9,5,1,15675,71493,97269,192231,25,301,304,797,3,2,1
Jalisco,20,159,102,250,640,3649,4361,9566,218,1234,1249,2130,25584,153301,187916,345351,403,2945,2978,6737,30,21,11
México,52,404,455,617,673,3893,5614,11514,240,1705,2001,3404,55915,274283,364735,758234,120,1167,1086,3892,12,7,7
Michoacán,9,61,40,48,654,2151,2919,4127,70,298,404,755,17923,87467,114196,177910,25,216,230,575,0,0,0
Morelos,16,116,135,308,203,1085,1513,1909,51,115,99,165,8549,40693,51633,97787,19,113,128,205,2,1,1
Nayarit,50,93,129,47,278,1793,2164,3702,0,0,0,0,6730,33141,41680,80586,30,122,158,408,1,0,1
Nuevo León,26,121,77,253,883,4792,6014,15439,10,72,81,191,28408,163085,196427,440183,131,829,836,2137,29,24,8
Oaxaca,56,100,68,110,492,2787,3622,6375,379,1755,2266,3619,15214,72423,91194,162882,44,305,293,792,0,1,1
Puebla,5,23,22,98,391,2062,2699,5923,15,56,84,540,25687,115252,147477,324007,54,318,312,1194,13,10,6
Querétaro,1,6,5,25,193,938,1438,2715,1,7,8,27,12717,60196,76647,143732,39,309,254,677,10,8,6
Quintana Roo,27,192,114,83,333,1778,1897,3831,1,2,4,4,9304,38088,43581,80203,30,93,103,258,11,7,5
San Luis Potosí,51,166,180,62,545,2886,3708,8038,128,52,101,187,15074,79568,99728,201047,83,587,648,1399,8,5,4
Sinaloa,96,367,229,167,625,2646,3266,6764,6,66,81,190,18921,97510,122891,209817,125,799,799,1205,3,2,1
Sonora,14,105,45,232,230,1501,1798,4241,360,2318,2602,4030,12702,78984,99933,194085,92,840,798,2915,2,2,0
Tabasco,29,172,179,245,312,1300,1818,3103,243,1066,1273,1062,10136,42117,55991,94403,25,142,143,222,4,2,2
Tamaulipas,39,325,154,400,1157,6130,7272,14890,942,5287,5893,10347,23407,120440,142909,283200,87,738,755,1830,3,1,2
Tlaxcala,3,34,31,12,173,965,1325,2463,3,39,56,32,8024,38748,50010,102732,14,128,111,477,0,0,0
Veracruz,159,734,697,443,865,3539,4819,9221,183,820,1075,3162,30409,127756,169875,328617,81,412,479,1132,7,3,4
Yucatán,8,81,93,49,63,483,627,851,1,19,25,6,11424,49392,61469,114303,28,188,184,385,13,7,7
Zacatecas,1,25,35,21,634,3289,4603,9054,213,1167,1602,2212,16348,80868,100918,190912,96,442,454,1275,1,1,0
