cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,7,8,3,7,5,6,6,9,5,12,9,8,12,5,13,13,13,8,11,8,8,5,15,17,14,14,17,15,13,10,21,23,18,28,23,18,28,21,19,24,19,23,24,35,32,25,33,20,35,29,24,31,32,19,36,36,35,36,40,38,40,25,34,46,49,28,23,23,28,22,27,33,37,33,29,48,37,41,41,36,40,32,30,28,38,54,23,30,43,40,40,36,37,45,40,42,41,43,42,36,33,44,44,36,33,32,30,30,33,30,31,22,23,35,39,27,31,28,37,34,25,17,30,25,17,19,14,25,21,16,18,16,18,23,25,11,20,13,20,25,13,12,21,10,3
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,5,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,8,8,3,8,6,4,6,8,3,6,5,7,9,8,11,3,4,10,8,4,9,7,10,6,3,5,10,10,7,3,9,11,8,7,13,6,5,12,10,7,6,13,16,11,6,8,8,9,12,6,15,7,8,5
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,7,6,5,5,7,6,5,5,8,8,6,8,10,10,6,10,13,9,10,7,11,6,16,11,13,12,22,19,15,12,12,18,11,10,22,13,15,27,24,14,16,16,14,14,13,16,12,17,18,10,19,21,18,10,13,13,19,12,18,21,11,7,8,14,8,11,13,14,13,9,11,15,15,10,11,7,3,6,10,6,3,7,13,6,6,4,11,4,6,3
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,5,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,12,10,7,4,8,4,11,8,3,5,3,7,12,10,7,10,12,6,13,15,16,17,23,16,10,18,18,23,25,31,21,23,16,22,33,17,21,26,13,23,29,25,25,22,21,22,24,22,28,22,23,29,15,10,21,13,10,18,12,18,11,28,18,14,19,16,9,17,14,9,18,7,7,9,13,12,10,3,1
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,4,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,18,18,15,15,24,16,19,15,18,17,28,23,22,23,28,30,27,40,27,34,25,31,37,20,22,21,48,26,26,31,30,31,28,22,24,34,33,31,29,30,27,35,30,29,22,20,25,36,27,41,30,30,29,34,15,22,29,37,29,33,24,33,22,38,30,18,23,23,22,25,28,31,18,20,15,26,21,9,19,29,14,20,23,14,26,12,14,18,22,15,6,12,18,12,22,19,14,19,11,15,14,7,10,12,14,16,13,9,7,16,9,10,9,8,2,6,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,4,7,5,7,9,7,10,10,4,9,14,11,14,17,12,14,23,18,13,21,13,16,24,35,25,22,29,24,33,33,36,25,31,40,41,33,41,31,37,25,39,54,48,47,40,35,44,44,37,42,41,39,44,40,44,41,40,50,51,45,40,44,49,38,44,31,36,33,31,45,22,37,22,22,32,34,25,19,27,17,14,11,18,25,12,14,19,12,5,6,22,12,14,11,7,15,15,7,11,9,8,3,6,7,6,9,5,8,5,3,8,2,5,4,7,2,6,4,3,3,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,17,13,13,14,7,15,11,23,13,13,15,11,13,15,24,17,17,14,16,21,19,23,21,17,12,22,18,19,18,28,11,24,20,17,17,17,11,18,15,16,17,12,18,17,17,21,26,15,22,18,10,23,16,14,14,22,22,26,25,25,29,18,27,24,17,31,41,35,24,33,35,35,31,39,29,28,35,39,25,28,34,37,32,30,21,32,24,27,27,21,32,24,24,18,21,16,20,15,12,18,20,23,18,22,19,14,11,18,8,10,13,10,10,9,8,12,6,20,16,4,13,8,11,10,3,10,6,2,5,5,5,2,3
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,6,2,3,0,4,5,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,4,11,6,20,15,12,19,22,19,9,16,28,20,12,23,27,29,27,29,31,19,26,17,35,37,38,34,31,20,19,13,15,37,15,22,33,25,26,29,27,29,19,32,26,21,29,30,20,24,24,19,25,26,19,28,20,22,16,20,24,17,17,20,15,11,14,18,15,17,11,10,17,13,10,13,7,13,11,12,11,9,7,12,5,7,2,3,10,8,7,5,3
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,7,3,6,5,5,2,5,13,3,6,5,9,5,0,10,9,9,6,14,5,7,7,14,10,16,11,7,8,6,6,9,5,9,7,13,11,4,5,8,6,13,10,5,8,9,10,10,7,7,9,9,14,12,10,11,12,12,8,19,18,11,12,17,12,14,13,18,14,11,10,17,12,10,10,7,8,14,7,8,16,7,5,4,12,5,13,10,3,4,4,4,6,3,7,3,11,4,6,3,4,3,5,5,10,8,2,5,11,2,4,5,5,3,2,2,0,1
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,15,18,13,19,28,22,25,24,20,36,25,19,22,32,37,37,27,33,28,30,30,34,24,31,25,38,27,35,33,35,26,40,29,32,43,39,40,33,32,30,35,40,42,31,31,35,42,40,26,30,34,44,36,41,37,42,31,24,28,33,37,40,45,40,51,44,44,28,29,39,36,38,51,42,43,47,43,39,36,35,39,43,47,42,42,47,35,34,30,47,40,34,28,25,29,30,25,30,25,29,27,21,19,24,22,13,27,27,20,19,18,12,16,13,15,18,15,22,19,20,17,16,15,11,13,19,5,10,6
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,9,19,16,8,6,6,15,23,15,10,15,16,8,19,19,9,13,21,10,9,16,13,23,13,7,15,11,13,21,22,22,16,13,12,20,21,14,8,17,20,14,18,18,16,19,11,14,14,20,16,14,19,10,14,9,12,15,10,9,20,13,7,5,13,8,12,6,4,9,8,11,15,11,7,8,8,6,3,10,3
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,2,1,2,3,0,4,3,4,3,6,4,2,1,3,7,5,3,6,4,4,1,6,8,5,3,6,5,5,6,2,8,9,8,13,2,7,7,4,7,12,6,10,7,10,11,9,17,10,6,8,8,7,5,9,2,11,5,6,7,6,13,8,9,4,9,9,5,12,5,12,10,8,5,9,4,9,13,5,9,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,66,69,72,80,92,95,82,111,110,136,167,159,167,165,203,224,236,214,212,273,265,300,264,265,335,317,305,297,325,312,322,345,345,381,417,431,398,456,455,461,463,454,443,439,477,489,491,462,493,451,494,514,560,506,544,540,518,552,580,609,575,600,557,622,579,609,599,664,645,585,564,500,572,578,567,555,538,591,586,578,645,611,586,579,591,610,651,714,678,618,632,604,612,610,669,630,645,657,618,599,639,639,672,583,628,598,617,617,633,621,543,598,540,563,537,593,622,560,557,529,546,526,542,542,484,478,462,440,459,479,431,478,442,412,440,398,404,412,390,378,400,384,405,414,381,353,357,327,319,313,301,235,231,75
