cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,5,3,1,6,3,2,4,5,5,4,6,4,5,7,2,7,6,2,5,5,8,10,15,13,14,11,19,16,15,16,14,20,19,15,25,22,26,16,24,21,23,24,20,25,22,36,27,26,39,33,32,30,33,34,37,36,33,33,36,25,28,30,24,27,40,27,34,42,35,22,49,34,37,41,32,30,33,27,28,27,25,32,34,34,28,37,34,26,21,18,16,27,19,17,26,25,23,25,17,33,21,16,23,18,18,19,15,18,24,19,16,12,18,18,9,7,7,10,3
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,19,21,27,22,26,17,22,17,23,21,28,18,17,23,19,24,22,20,23,18,18,27,23,15,19,25,19,30,14,16,29,16,15,16,22,24,20,19,22,11,11,15,21,12,14,22,10,12,15,13,7,16,24,12,9,12,13,11,14,15,11,15,10,15,17,9,7,6,12,10,10,11,10,13,7,7,15,7,9,7,9,4,12,4,13,14,7,11,16,8,6,8,4,6,11,7,6,5,14,4,3,4,2,6,3,7,1,7,1,7,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,12,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,8,18,6,12,11,6,18,13,10,5,9,6,10,10,8,15,11,18,14,14,14,15,17,13,8,14,18,12,9,16,20,13,17,16,16,18,17,12,19,18,23,19,22,15,14,15,26,22,18,14,19,12,13,21,16,16,12,19,20,20,11,29,17,13,18,19,15,15,15,13,8,11,12,13,10,6,11,4
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,20,11,18,23,17,17,21,14,23,14,23,28,14,27,18,24,30,17,24,26,26,21,27,27,29,19,23,26,34,20,32,21,33,38,32,27,26,28,27,24,35,30,33,24,38,29,17,22,29,31,33,22,32,23,27,22,32,37,18,37,20,29,23,26,30,31,34,30,35,26,18,36,29,24,26,24,30,27,19,34,28,25,28,36,20,26,29,22,24,22,22,20,26,21,23,20,19,41,18,33,21,10
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,18,23,28,27,36,38,40,37,54,48,68,51,59,72,65,78,65,65,94,67,58,66,62,64,65,71,59,87,74,94,87,103,93,100,82,101,100,86,108,102,115,97,97,103,110,111,108,99,122,107,103,108,116,112,129,114,122,110,106,106,122,126,112,96,110,80,83,96,89,83,70,83,90,92,123,86,84,95,61,70,85,110,78,85,81,75,90,73,66,74,75,87,69,76,83,66,69,60,66,67,70,65,70,56,59,57,55,65,53,62,60,60,66,46,48,63,71,47,50,52,49,43,55,44,48,57,35,48,39,54,41,38,34,50,51,42,39,41,41,43,44,33,40,44,34,16,21,3
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,4,6,7,4,8,9,10,7,4,9,11,6,12,8,3,4,8,8,6,7,14,7,9,7,12,8,11,12,9,14,18,20,16,24,12,14,14,10,8,10,10,6,8,17,11,6,7,12,9,5,8,10,10,7,10,5,8,15,10,12,8,14,6,13,4,4,5,3,5,8,11,15,17,13,11,15,8,8,18,8,18,7,10,12,15,15,18,16,14,16,9,11,14,14,20,13,17,6,16,16,18,11,12,15,11,19,17,16,14,17,12,23,11,9,13,7,10,10,4
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,4,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,13,16,16,12,22,10,10,9,10,15,18,22,15,9,15,7,9,10,6,7,5,7,12,13,13,6,7,8,11,9,9,9,12,9,8,10,11,7,11,7,5,9,3,9,7,9,4,1,8,3,4,9,6,8,4,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,4,3,2,3,2,2,3,4,3,10,7,5,9,6,4,4,5,9,2,6,4,2,8,5,5,2,2,3,3,5,3,6,6,2,5,2,4,5,1,3,4,3,2,2,5,0,2,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,8,7,4,1,1,4,3,7,7,6,5,8,4,5,6,8,6,4,5,6,4,13,5,9,7,10,1,9,8,7,9,10,6,3,7,11,6,6,7,7,3,7,7,6,3,2,6,9,11,3,9,8,6,15,4,6,3,5,8,7,8,3,6,12,4,4,4,6,8,6,2,8,5,4,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,8,10,3,7,3,5,6,7,5,10,10,6,13,11,11,11,10,7,14,13,11,11,10,21,13,14,16,23,20,28,23,19,28,27,24,24,27,17,23,26,33,30,40,30,29,37,33,29,36,42,37,40,28,36,46,48,29,31,31,33,36,31,37,40,43,45,27,45,33,32,33,41,27,31,38,35,24,31,38,32,34,24,28,21,27,22,24,28,30,32,26,25,29,29,22,17,20,24,17,5
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,8,9,14,12,8,11,9,13,16,16,14,12,6,14,5,14,17,17,24,22,12,18,26,12,17,21,21,12,10,6,16,19,21,15,12,16,12,9,5,10,18,7,11,17,16,14,16,9,14,15,10,13,17,17,15,10,13,7,18,10,10,18,13,13,6,4,10,16,7,9,11,8,12,15,9,11,14,13,10,9,7,8,10,10,11,9,11,5,8,6,11,4,3,6,6,5,8,3,3,4,9,5,7,2,6,5,8,5,4,6,5,1
