cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,11,7,12,7,15,14,10,11,5,11,11,8,20,12,16,11,12,16,15,16,11,18,12,22,15,14,23,15,21,24,17,22,28,23,16,21,28,14,18,15,13,12,24,17,17,26,25,13,33,20,17,23,14,18,30,19,20,17,11,12,6,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,16,23,20,28,17,17,22,19,23,22,19,22,18,18,27,22,15,19,23,20,29,14,16,29,15,15,16,21,24,20,19,19,10,11,13,20,12,12,22,9,12,15,13,7,13,23,12,8,10,10,10,11,10,10,12,10,14,14,7,5,4,8,7,7,6,7,4,2,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,15,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,6,18,6,12,11,6,17,13,10,5,9,6,10,10,8,14,11,16,13,14,14,15,14,13,7,14,13,12,9,14,19,12,16,15,16,15,17,6,10,15,16,8,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,23,17,16,21,13,22,13,22,26,14,27,17,24,27,16,24,26,25,21,26,26,27,19,23,26,33,20,31,21,32,36,28,26,24,25,26,19,33,29,29,23,34,27,17,21,27,29,32,18,28,19,25,19,14,27,15,30,17,26,17,18,20,2,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,22,28,27,34,35,38,35,47,44,67,50,56,66,62,74,63,61,90,63,55,66,60,61,64,68,57,83,75,90,87,101,91,99,82,99,96,83,106,96,108,92,91,97,103,108,104,98,120,106,100,104,111,108,125,110,120,108,102,104,117,120,107,94,106,76,81,93,86,81,68,78,88,86,119,81,80,94,60,69,81,103,78,83,75,70,84,66,65,67,71,81,62,69,80,59,62,49,57,55,53,58,49,40,48,44,36,51,39,42,26,7,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,3,4,7,8,6,7,14,7,9,7,12,7,11,11,9,13,18,19,15,23,12,13,13,10,8,10,10,6,8,16,11,6,7,11,9,5,8,9,10,7,8,5,8,14,9,12,8,14,6,12,3,4,5,3,5,8,9,10,15,10,9,12,5,6,10,5,14,2,1,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,14,16,16,11,22,10,10,9,10,15,17,22,15,9,15,7,8,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,8,8,9,8,7,10,7,5,9,3,9,6,9,4,1,7,3,4,9,6,8,3,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,3,3,2,1,2,1,2,3,1,6,2,4,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,7,7,3,1,1,4,3,5,7,5,5,8,4,5,6,8,6,4,5,6,3,13,5,9,7,10,1,9,8,6,8,7,6,3,7,11,5,3,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,12,10,10,11,10,20,12,14,15,22,20,28,19,16,26,24,18,23,25,13,21,26,29,29,35,30,29,37,32,28,34,38,25,25,12,17,23,38,25,27,27,26,31,27,21,9,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,10,7,13,16,16,12,11,6,12,5,12,16,17,22,22,11,17,26,12,17,22,19,11,10,6,15,19,21,14,12,15,12,9,5,9,17,6,11,17,15,14,16,8,12,14,9,13,17,15,15,9,13,6,12,8,7,17,12,10,5,3,8,14,4,7,7,7,10,9,5,4,0
