cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020
"23",1723259,"QUINTANA ROO",0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,2,0,2,2,2,0,0,0,0,2,4,3,2,0,1,3,0,2,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,3,0,0,3,1,0,2,3,0,1,2,1,2,3,4,3,6,9,11,10,12,5,6,6,11,18,20,24,21,6,8,32,24,17,21,17,8,13,16,20,16,15,13,10,7,23,12,16,16,9,17,9,14,16,11,8,18,15,6,17,14,19,17,8,4,9,16,22,21,36,17,17,16,25,25,26,38,30,13,12,41,26,25,30,33,19,19,30,23,30,30,46,31,15,42,26,39,44,37,27,20,47,46,51,39,71,19,33,26,52,63,66,46,17,22,66,87,87,96,89,16,21,86,93,79,82,53,3,2,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,2,0,2,1,1,2,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,2,1,3,3,2,13,5,9,2,8,11,14,13,25,39,40,39,54,29,29,40,45,62,53,32,29,19,32,43,57,31,25,29,24,54,55,29,31,36,27,28,39,41,33,62,63,22,28,52,55,51,60,43,27,33,51,41,83,64,103,35,28,89,99,98,78,108,52,32,92,95,81,60,67,58,45,124,120,140,70,101,45,67,140,100,106,102,90,47,45,117,150,143,143,142,72,59,166,179,132,187,152,82,54,128,151,154,109,168,128,54,148,172,178,186,167,82,1,0,0
"25",3156674,"SINALOA",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7,4,4,0,0,0,2,3,4,3,4,0,0,2,1,4,1,1,0,1,0,2,1,0,2,1,0,2,0,1,2,1,0,1,2,3,0,3,2,3,4,3,6,13,10,11,5,6,22,37,34,30,37,11,18,39,24,43,36,38,50,14,40,25,42,19,28,24,8,60,38,45,31,36,14,21,34,19,22,25,48,18,21,44,55,30,94,66,48,20,97,86,90,93,84,37,27,68,99,58,83,81,37,33,100,67,81,68,79,31,54,90,72,67,85,76,32,38,96,85,94,90,131,56,36,112,126,110,146,116,35,39,67,107,135,90,113,71,35,100,134,122,93,111,45,23,104,96,65,43,40,4,4,3,0
"26",3074745,"SONORA",0,0,0,1,0,1,2,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,3,0,0,0,1,2,3,4,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2,1,1,1,1,0,1,2,1,0,2,2,0,1,2,9,13,8,7,6,3,10,22,28,21,23,17,13,40,32,34,28,22,15,12,28,28,36,16,25,12,7,38,29,36,31,35,23,25,35,35,41,30,39,16,23,33,26,41,47,25,21,24,49,38,48,58,93,44,22,89,83,93,77,113,34,31,75,81,80,94,86,51,68,82,109,115,114,70,73,43,107,129,92,93,125,75,65,143,120,115,139,94,64,46,121,80,90,78,113,48,48,70,63,67,63,69,27,24,76,68,52,73,38,0,0,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,2,0,2,0,1,2,1,1,9,6,7,11,18,6,17,35,27,21,8,44,47,36,25,35,19,20,30,30,26,9,8,7,8,17,32,22,31,47,22,52,35,50,66,75,82,38,24,68,35,78,59,32,30,55,78,83,76,96,107,75,45,94,90,89,129,144,79,59,134,141,176,172,189,106,85,182,201,198,228,233,88,72,230,223,254,277,255,148,106,279,247,326,238,185,110,79,306,234,289,331,294,162,101,288,267,248,283,235,203,103,265,257,285,222,188,1,0,0,0
"28",3650602,"TAMAULIPAS",0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,1,1,1,1,1,4,2,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,2,0,3,0,2,2,0,2,0,5,3,6,3,5,10,11,12,11,22,14,5,11,19,22,33,24,24,10,14,24,31,47,15,40,11,22,66,64,72,64,69,72,34,107,49,89,90,99,47,47,143,130,130,147,88,61,48,87,112,88,114,82,52,31,124,128,148,235,270,98,21,255,309,199,151,247,134,129,233,213,225,168,196,151,188,284,309,286,206,268,94,72,221,283,301,256,346,129,148,380,442,303,238,192,69,35,144,235,260,208,277,110,86,255,89,44,41,5,1,0,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,1,0,1,0,3,8,6,3,4,8,6,5,14,19,7,7,19,13,21,15,13,4,8,17,17,16,27,19,8,6,49,47,18,10,30,15,2,21,22,17,23,24,26,9,40,46,17,38,10,30,11,25,29,41,26,35,34,18,27,38,58,62,70,30,13,49,51,73,108,105,33,14,61,60,61,68,99,30,23,50,53,91,89,63,37,13,66,61,137,103,82,21,35,106,99,76,63,61,60,18,94,112,94,70,74,37,17,57,61,54,53,35,21,10,6,0
"30",8539862,"VERACRUZ",0,0,0,0,0,1,2,2,1,1,2,0,1,2,1,1,3,3,0,0,3,1,1,3,6,2,5,3,3,2,5,0,0,0,0,1,1,4,3,1,1,6,3,1,3,4,2,2,0,3,4,3,2,1,0,4,3,1,2,6,3,4,1,6,2,5,5,0,2,3,2,2,3,9,5,2,6,28,18,15,19,6,2,17,40,46,60,40,19,15,57,63,48,58,43,15,9,52,50,52,23,24,25,13,58,62,52,37,52,23,27,78,72,60,71,62,36,20,60,49,60,47,39,25,37,49,42,54,45,64,29,24,73,59,71,55,61,40,33,86,74,80,87,65,61,29,64,80,75,79,51,43,41,95,81,113,118,95,66,57,106,142,114,100,102,49,56,118,131,132,132,97,70,49,137,123,123,121,130,66,69,142,130,95,80,42,0,0,0,0
"31",2259098,"YUCATAN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,4,2,6,0,1,0,1,1,0,5,2,0,7,5,5,11,13,21,9,11,27,26,15,11,16,18,16,28,23,33,40,31,21,15,27,29,31,17,21,18,17,46,38,29,24,40,23,44,44,34,35,49,42,21,9,96,57,100,61,31,20,44,72,66,65,77,54,24,41,69,58,84,65,63,30,28,76,71,71,64,65,24,39,77,77,101,58,97,44,41,67,44,47,23,19,34,46,83,66,75,105,84,56,54,113,76,80,92,113,41,35,124,91,117,119,80,96,74,293,265,219,208,155,61,29,44,0
"32",1666426,"ZACATECAS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,3,2,0,1,1,3,7,3,7,7,6,10,26,17,12,9,1,5,10,11,7,29,12,14,6,10,12,22,5,7,5,2,13,13,13,10,7,26,10,22,22,28,23,23,12,37,39,25,19,10,18,11,7,37,23,13,36,35,17,5,34,20,31,26,31,23,10,42,22,30,14,25,6,11,20,43,22,24,32,6,7,22,17,27,30,49,8,10,31,48,25,42,79,39,24,65,91,60,43,51,27,11,47,50,39,49,52,9,7,45,50,48,56,33,26,8,0,0
"000",127792286,"Nacional",0,5,16,18,6,14,28,28,15,44,39,5,20,36,51,59,43,42,16,21,65,52,56,46,46,15,34,43,50,30,39,32,8,12,14,51,45,45,28,8,16,71,49,40,36,32,9,17,28,30,30,23,26,12,9,32,31,39,41,63,24,27,77,75,68,65,54,24,31,78,98,107,176,224,113,135,195,364,404,480,470,331,265,705,963,1090,1049,1246,607,601,1357,1209,1260,1386,1385,853,579,1450,1517,1645,1221,1427,966,761,1941,2030,1890,1765,1970,877,794,2176,1958,1904,2107,2355,1189,941,2489,2606,2943,3300,1698,1443,1505,3409,2924,3394,3387,3721,1932,1329,3875,4071,3806,4129,4240,2039,1243,4458,4072,4359,4224,4552,2079,1639,4772,4714,4884,4613,4829,2486,1716,5169,5054,5345,5230,5556,2520,1734,5511,5851,5908,5868,6151,2424,1923,6344,6105,5879,5582,5626,2505,1452,5228,5843,5469,5864,6046,2629,1761,6302,5633,5116,4084,3386,1069,440,420,1
