cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,3,4,8,1,2,5,5,2,3,4,2,5,5,7,6,7,3,5,5,5,4,7,5,12,8,7,11,4,13,11,11,8,10,6,5,4,13,14,12,13,16,11,8,6,17,21,16,25,21,15,23,15,15,20,16,19,16,29,26,21,30,18,32,24,20,26,22,16,27,32,25,27,25,21,24,12,19,17,23,9,1,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,6,5,6,5,10,3,7,7,3,7,2,8,7,9,4,7,4,4,3,3,3,3,4,3,3,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,4,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,6,6,8,7,6,11,7,3,5,7,9,12,5,7,8,4,6,6,6,4,4,5,5,5,5,7,8,4,2,3
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,2,3,1,1,2,1,4,4,1,2,1,2,6,5,5,2,2,5,1,1,0,0,5,1,1,0,2,3,6,4,3,1
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,11,6,8,7,6,11,10,9,8,11,9,16,6,9,12,20,6,13,11,4,7,12,15,4,16,16,14,16,17,15,12,24,14,19,14,17,16,26,21,20,17,26,24,24,36,24,31,23,25,27,18,20,17,36,16,20,21,23,23,22,11,14,15,14,7,3,1
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,3,3,1,1,1,0,3,1,2,0,1,3,1,2,0,0,4,2,2,4,4,1,4,6,5,6,8,7,7,9,4,9,13,8,13,16,12,11,21,15,12,15,11,10,21,25,19,17,21,15,24,26,23,16,19,21,22,21,17,10,14,6,5,6,2,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,9,9,10,17,13,12,14,6,15,11,22,13,12,13,11,12,14,24,17,15,14,16,21,19,22,21,17,11,19,16,14,16,26,11,22,19,16,15,17,8,15,14,13,16,12,16,15,16,19,19,9,15,11,6,16,9,4,4,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,2,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,9,6,17,14,8,10,9,6,5,5,10,2,1,1
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,1,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,5,3,4,2,3,11,3,4,4,6,2,0,9,7,9,5,10,4,5,4,8,7,13,7,3,4,1,3,5,1,5,2,5,8,3,1,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,6,15,12,12,13,17,13,19,27,22,24,22,20,36,24,19,22,32,36,35,26,31,27,30,26,32,23,30,25,36,26,31,28,32,21,39,25,31,36,34,35,25,29,23,24,35,32,19,20,23,25,18,12,6,5,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,7,7,9,5,10,8,2,4,4,6,4,5,9,10,3,5,7,11,13,6,7,9,3,6,5,6,6,9,2
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,3,6,1,2,1,1,1,0,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,14,8,12,22,19,26,31,33,27,53,57,46,53,66,66,70,79,86,89,77,105,107,130,158,151,160,157,193,210,222,208,197,256,245,277,253,248,318,293,289,284,306,294,308,327,321,357,396,403,370,422,426,424,424,420,414,411,437,443,437,419,425,403,429,470,504,440,467,456,452,483,492,506,481,509,450,498,478,471,478,508,467,387,364,320,340,302,179,109,15
