estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,2,1,5,128,546,622,1633,7,25,23,118,9741,36658,46872,109346,34,188,200,452,0,0,0
Baja California,69,503,267,333,308,1551,2031,4555,32,135,203,1260,13784,73425,91488,156788,173,1190,1179,2229,0,0,0
Baja California Sur,39,73,15,161,321,1267,1643,3063,2,19,7,44,7342,26850,32113,55323,23,74,78,160,0,0,0
Campeche,9,28,20,39,78,439,517,1070,1,3,8,19,4505,17726,22212,42708,1,31,35,110,0,0,0
Coahuila,4,41,29,107,396,2044,2588,5474,722,3664,3889,8756,16098,85982,103977,197628,98,727,715,1146,0,0,1
Colima,20,52,21,30,147,627,712,1915,154,473,559,649,5027,19576,22899,41977,19,57,54,187,0,0,0
Chiapas,11,132,81,238,482,2264,2791,5093,143,362,563,1179,14777,56076,69687,124212,34,237,230,518,0,0,1
Chihuahua,75,332,304,245,509,2645,3389,8339,544,2032,2521,4222,18226,86006,113802,245914,210,1204,1462,3366,0,0,0
Ciudad de México,12,55,39,75,792,3905,5053,10615,64,287,338,409,45920,183902,250943,533133,294,1656,1684,4807,15,14,3
Durango,5,16,14,30,232,1077,1415,2978,0,0,0,0,10158,48629,62945,124088,20,133,116,449,1,1,0
Guanajuato,1,13,13,51,576,2646,3860,6928,65,217,236,182,28592,115152,143770,291773,118,627,676,2061,0,0,0
Guerrero,76,361,470,792,255,1224,1911,3098,344,2193,3060,4727,11409,52389,72416,120929,29,146,177,392,0,0,0
Hidalgo,93,274,517,189,363,1401,2329,4217,5,8,3,1,18720,64794,88293,175908,55,286,294,733,0,0,0
Jalisco,25,141,100,203,730,3370,3999,8816,226,1122,1143,1968,28572,141694,173901,320456,441,2745,2775,6392,2,0,2
México,56,375,426,549,831,3620,5162,10531,286,1587,1869,3095,58448,247720,329308,698652,142,1070,1024,3572,2,1,2
Michoacán,5,54,38,44,436,1854,2547,3784,66,264,368,717,19946,79478,103917,162191,33,203,218,525,0,0,0
Morelos,17,108,127,226,274,1010,1385,1670,23,82,81,120,9217,36919,46858,89683,22,104,118,190,0,0,0
Nayarit,1,68,104,42,400,1669,1999,3382,0,0,0,0,7470,30170,37779,73487,31,110,140,378,0,0,0
Nuevo León,21,103,69,217,842,4395,5498,13993,11,67,76,167,33720,149747,180512,405058,111,760,777,1979,3,3,0
Oaxaca,10,71,39,101,508,2568,3330,5755,435,1594,2043,3228,15475,65459,82301,149337,64,277,261,734,2,1,1
Puebla,3,21,19,87,481,1892,2488,5299,18,53,74,482,26770,104591,134082,296232,55,336,324,1112,3,3,0
Querétaro,1,6,4,20,208,861,1322,2473,1,7,7,15,14425,54639,69487,131676,41,292,232,597,4,2,2
Quintana Roo,38,172,107,64,327,1620,1722,3557,1,2,3,4,8380,33787,38578,73888,18,78,88,222,1,0,1
San Luis Potosí,46,144,151,59,600,2659,3386,7374,9,11,14,183,17017,72946,91218,185052,100,541,611,1294,1,0,1
Sinaloa,53,300,200,149,604,2353,2934,6205,22,61,80,179,21786,89284,112075,191509,145,739,734,1121,0,1,0
Sonora,19,93,43,197,284,1396,1673,3874,400,2148,2412,3636,15287,73141,92685,178874,105,788,758,2679,0,0,0
Tabasco,33,162,167,208,270,1167,1637,2752,246,925,1124,945,11213,37768,50130,85453,17,136,129,209,0,0,0
Tamaulipas,35,303,137,379,1096,5623,6620,13539,1244,4836,5402,9494,25178,109664,130219,258444,131,693,712,1692,0,0,0
Tlaxcala,8,33,28,9,153,875,1228,2233,7,38,54,31,8149,35026,45281,93571,17,116,106,432,0,0,0
Veracruz,159,661,611,401,822,3167,4326,8374,104,747,965,2936,31242,114634,152588,300940,67,382,468,1031,0,0,0
Yucatán,9,76,90,43,75,459,588,786,1,18,25,4,11434,44392,55045,105120,35,179,165,364,1,0,1
Zacatecas,4,25,34,21,661,3029,4228,8443,347,1079,1476,2044,17524,73548,91890,176524,70,396,404,1171,0,0,0
