cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,5,2,1,2,5,3,3,7,6,8,2,2,4,1,3,4,13,14,29,10,10,13,10,13,9,12,11,7,25,17,14,16,14,9,11,33,23,29,37,43,26,23,40,53,41,51,37,33,20,54,69,57,62,56,52,20,115,96,106,141,142,92,69,178,170,178,216,171,126,81,193,223,184,198,210,121,83,334,315,326,315,368,188,113,365,400,388,287,354,201,119,385,408,405,409,403,219,114,431,429,447,426,392,178,163,505,477,483,387,393,160,95,148,13,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,27,29,31,18,14,40,28,52,37,47,41,40,36,33,47,59,48,70,59,51,41,128,110,142,140,130,67,71,136,118,120,113,98,62,78,152,107,116,128,122,88,65,152,105,148,154,146,77,96,140,152,108,104,132,54,70,179,117,96,132,123,138,170,219,251,252,282,267,185,146,160,145,109,141,133,35,123,151,168,131,159,101,90,99,93,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,18,11,15,19,19,22,18,25,25,28,30,25,21,27,35,29,41,37,33,24,25,52,56,45,67,80,54,26,80,70,77,92,79,52,40,88,71,80,93,73,47,41,94,79,66,63,65,51,29,88,110,77,73,96,45,42,79,72,73,76,83,54,28,74,80,85,84,89,43,39,94,81,107,87,76,39,32,98,85,83,74,88,49,45,119,101,107,107,90,61,33,61,0,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,9,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,29,16,30,20,25,49,26,28,22,49,39,29,57,64,17,31,55,73,59,61,73,41,38,93,129,139,122,163,126,80,224,194,206,171,216,99,69,256,250,239,224,171,109,87,213,207,198,209,184,132,88,203,219,195,161,206,134,102,173,215,182,183,189,124,83,220,231,198,195,181,99,101,242,234,211,211,214,109,74,131,29,0
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,13,10,5,5,15,23,25,27,43,27,18,53,34,50,49,49,34,41,84,73,89,62,92,78,84,154,159,182,188,157,159,153,261,275,248,264,304,194,207,353,338,320,300,274,231,247,489,344,343,434,423,255,244,570,531,578,513,601,354,308,673,568,607,643,673,310,340,788,679,750,680,685,386,331,826,783,912,780,787,394,410,1035,857,865,722,710,365,370,841,817,736,709,710,358,252,724,646,669,552,647,268,262,781,607,771,606,640,296,247,677,601,608,445,593,230,198,591,494,551,374,256,92,40,61,8,5
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,13,16,9,8,14,7,8,28,12,12,19,23,27,20,32,29,23,26,24,16,27,43,21,35,29,43,45,25,69,58,101,77,103,43,27,66,66,101,79,96,21,35,119,101,90,112,129,47,46,168,126,148,142,131,73,39,190,195,152,170,196,79,48,202,193,199,165,244,122,50,218,196,167,155,104,70,29,172,163,113,117,127,43,32,136,128,121,111,108,67,41,136,130,121,104,80,20,13,1,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,19,32,29,33,14,31,47,28,43,36,32,29,49,53,48,54,49,42,27,29,61,55,58,41,52,25,25,47,54,45,49,56,23,19,66,74,37,61,50,26,31,61,51,54,46,58,25,20,88,55,53,57,57,38,31,63,56,47,38,60,21,17,33,42,58,27,36,15,18,51,30,38,36,35,10,12,41,36,23,33,38,14,17,49,41,38,34,36,8,2,12,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,18,15,19,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,21,11,23,43,33,29,38,23,16,42,40,33,45,57,27,20,49,35,42,46,44,31,33,77,49,48,43,50,44,24,59,61,61,53,61,42,19,78,63,43,61,78,42,32,75,54,62,65,63,44,36,52,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,12,17,16,6,6,5,8,20,27,22,28,27,22,9,39,62,26,24,29,26,21,42,36,67,38,74,30,11,46,39,61,34,50,35,26,80,117,69,64,68,42,21,83,93,75,132,147,77,41,202,154,219,199,243,163,103,276,212,178,228,205,173,101,291,298,295,305,307,200,166,384,356,411,288,308,214,175,495,419,427,425,225,227,206,525,310,196,212,143,71,73,127,86,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,2,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,18,12,12,15,6,14,25,34,24,24,23,15,28,54,66,69,66,79,65,18,122,74,75,101,81,83,36,101,80,92,126,123,113,46,152,154,143,186,167,136,54,169,160,169,155,146,158,71,198,152,186,168,162,135,43,205,183,166,179,174,139,70,189,171,214,205,209,160,52,262,229,183,152,180,97,31,134,156,77,50,50,7,9,6,4,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,2,5,6,7,5,4,2,8,15,6,15,9,13,4,15,21,16,19,14,11,8,24,13,23,12,8,15,5,27,16,28,21,30,25,18,31,22,27,32,39,43,24,36,43,44,46,41,43,38,47,37,49,64,47,48,37,73,72,90,106,105,76,67,131,129,121,145,174,146,81,169,166,201,169,153,121,63,198,180,195,207,209,124,92,310,247,258,308,310,175,146,449,414,436,505,440,216,164,504,418,366,458,350,184,137,345,358,311,275,272,166,121,332,329,307,296,272,160,157,393,351,259,158,122,31,39,23,4,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,3,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,5,2,7,9,10,1,2,3,9,12,6,8,12,4,10,10,9,14,26,26,19,47,34,29,41,49,28,17,47,61,42,37,35,22,12,52,38,36,31,37,27,21,39,49,47,44,38,30,28,52,43,39,33,39,34,22,55,43,43,39,29,24,16,50,35,37,38,44,18,21,52,49,53,57,33,22,32,50,65,59,57,41,36,32,72,45,64,44,50,37,21,30,10,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,3,8,10,9,7,7,3,22,15,24,11,13,8,10,32,23,26,8,22,17,22,22,17,20,31,34,45,23,45,42,34,47,23,31,31,43,42,38,34,32,69,29,32,25,41,39,26,19,22,44,37,27,39,21,18,13,43,34,44,41,44,38,25,49,32,42,43,47,25,22,45,62,43,38,39,22,29,52,49,56,56,49,28,52,88,61,64,68,82,39,53,109,92,82,98,134,60,61,172,143,128,149,126,73,60,191,155,166,166,152,88,72,188,180,142,140,136,52,46,73,1,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,18,9,10,14,14,11,28,17,34,13,26,12,19,32,23,25,34,29,25,15,34,26,39,37,56,20,21,49,39,59,38,51,24,19,52,55,77,78,79,59,49,115,93,86,77,63,29,23,116,103,115,96,92,47,40,124,120,117,122,99,94,38,130,136,140,129,154,75,53,197,184,201,202,237,149,96,315,288,261,106,61,32,19,2,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,46,47,40,38,31,31,61,46,48,67,70,44,36,78,46,54,56,58,48,31,76,51,83,64,59,52,40,69,85,77,98,96,67,64,139,101,122,116,143,60,80,169,181,191,159,181,131,69,207,172,211,190,215,152,102,211,240,223,231,291,89,85,187,206,191,164,170,136,85,208,195,203,135,181,95,80,170,166,187,150,158,94,81,147,180,166,153,155,84,93,186,169,151,120,105,33,12,24,3,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,2,5,1,3,1,7,2,11,14,16,6,7,5,3,18,9,13,14,14,14,7,9,14,21,9,20,9,15,35,15,17,33,23,32,26,66,63,46,44,58,53,29,80,76,113,85,107,68,62,171,156,144,177,155,134,108,231,278,237,267,212,147,126,248,246,251,245,255,162,116,269,285,257,272,257,165,132,295,314,313,274,301,189,159,355,358,343,358,331,189,171,350,404,324,307,229,122,138,308,283,269,234,228,163,117,260,161,76,37,8,0,1,5,4,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,18,11,15,19,27,30,47,39,43,56,48,40,72,84,65,63,65,43,41,59,58,50,84,54,48,46,85,72,95,104,81,53,65,115,87,116,127,145,86,81,122,106,162,142,138,97,83,175,198,224,222,171,103,74,205,160,180,189,177,132,108,283,293,315,273,367,180,105,311,312,310,318,296,194,106,273,277,287,320,257,195,150,388,406,404,423,345,150,132,327,369,400,419,334,203,194,420,438,432,379,413,203,151,144,1,0
