estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,1,0,4,104,373,404,1200,5,18,19,78,7835,24401,31682,78026,26,134,133,294,0,0,0
Baja California,125,346,166,212,364,1076,1369,3168,30,97,157,834,16055,53296,67118,109577,253,882,852,1634,0,0,0
Baja California Sur,5,28,10,79,291,830,1056,2149,2,15,4,21,6311,17245,20403,37737,13,47,48,120,0,0,0
Campeche,3,20,8,29,123,298,347,698,0,2,4,12,4206,12000,15431,30408,6,25,23,79,0,0,0
Coahuila,3,32,19,70,469,1473,1870,3829,596,2658,2806,6591,21000,61803,75132,141309,148,573,562,829,0,0,0
Colima,3,27,8,18,143,409,486,1201,109,272,327,310,4597,12893,15086,29247,13,35,30,134,0,0,0
Chiapas,15,84,56,138,393,1605,1945,3666,81,202,327,666,12481,38262,47895,86237,158,275,175,386,0,0,0
Chihuahua,54,218,198,95,489,1942,2524,5921,287,1457,1851,3321,17442,62566,83292,172886,237,908,1114,2648,0,0,0
Ciudad de México,9,41,23,39,857,2755,3513,7355,53,207,237,289,41498,128253,176068,389060,367,1220,1288,3478,0,0,0
Durango,2,9,8,20,245,744,958,2197,20,6,14,0,11819,33951,44025,91178,31,85,83,369,0,0,0
Guanajuato,2,8,8,33,728,1760,2642,4849,63,142,150,143,27324,76618,96400,206419,149,464,481,1423,0,0,0
Guerrero,109,248,322,417,321,803,1293,2015,526,1415,1943,3243,13694,36311,50448,83061,41,104,116,293,0,0,0
Hidalgo,133,151,290,16,404,994,1620,2857,1,3,2,0,14452,44099,60804,122855,58,245,237,494,0,0,0
Jalisco,22,93,66,56,701,2254,2802,6405,206,740,774,1433,29309,98265,121685,239341,491,1987,1970,4970,0,0,0
México,86,158,193,298,762,2414,3564,7292,492,1197,1381,2021,55972,168825,228771,496396,171,817,750,2511,0,0,0
Michoacán,11,43,28,29,470,1346,1843,2727,19,147,221,488,17222,54298,71581,116481,39,152,166,382,0,0,0
Morelos,11,83,95,142,319,655,942,1121,7,49,39,95,8361,25415,32667,65248,28,81,85,154,0,0,0
Nayarit,30,36,55,25,406,1184,1285,2385,0,0,0,0,7083,20324,25342,51434,17,67,99,271,0,0,0
Nuevo León,19,73,47,120,1235,3166,3933,9913,9,47,49,107,34122,103985,126165,283809,122,561,590,1361,0,0,0
Oaxaca,6,45,31,56,465,1791,2302,3946,263,1109,1408,2177,13575,44357,56054,106164,146,176,269,515,0,0,0
Puebla,3,15,14,57,376,1390,1861,3583,2,30,39,266,21980,72018,91585,207685,65,240,221,816,0,0,0
Querétaro,0,5,4,10,214,628,953,1607,6,6,6,9,12619,37255,47596,92280,42,210,180,420,0,0,0
Quintana Roo,16,101,67,39,289,1070,1160,2628,0,0,1,4,6548,23272,26723,52555,16,58,62,158,0,0,0
San Luis Potosí,56,79,81,35,670,1865,2388,4967,0,6,9,155,17840,49964,62684,129200,108,417,454,848,0,0,0
Sinaloa,56,159,126,94,485,1603,1923,4251,16,42,60,95,19926,59892,75958,132231,170,497,503,797,0,0,0
Sonora,20,60,25,134,319,983,1177,2700,363,1510,1669,2376,17270,50163,63602,126746,185,592,559,1919,0,0,0
Tabasco,39,99,94,91,245,801,1125,1868,184,632,723,726,8706,24850,32761,58355,23,107,103,144,0,0,0
Tamaulipas,40,214,86,139,1297,4059,4709,9327,1086,3289,3777,6550,23578,76008,90182,180349,129,513,523,1210,0,0,0
Tlaxcala,8,18,17,3,190,585,824,1589,6,28,40,13,8364,23767,30826,65516,18,95,81,318,0,0,0
Veracruz,140,432,404,254,781,2229,2989,5708,136,496,691,1958,25855,77722,104240,213265,105,277,352,734,0,0,0
Yucatán,89,60,75,14,97,343,426,569,0,14,18,3,10492,30605,38077,75485,51,129,116,278,0,0,0
Zacatecas,1,11,14,7,748,2148,2986,6240,261,727,982,1517,17066,49609,62431,130139,99,300,289,883,0,0,0
