cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020
"11",6228175,"GUANAJUATO",0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,2,0,0,1,1,0,2,0,0,2,1,0,1,3,1,2,2,0,2,5,2,2,1,0,0,3,1,2,1,0,0,1,0,2,1,1,1,4,3,5,3,1,2,3,0,1,0,3,3,1,8,9,2,3,8,10,13,27,25,40,14,47,55,84,88,72,64,19,85,91,79,98,84,31,17,71,72,83,63,56,54,16,60,77,117,103,156,62,35,172,201,223,230,201,104,38,194,312,333,361,155,74,53,239,228,267,283,282,91,49,317,273,267,318,318,112,50,352,276,252,251,257,101,70,353,292,205,226,218,87,68,221,202,183,77,1
"12",3657048,"GUERRERO",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,0,1,2,3,2,2,2,0,1,12,6,12,14,18,10,11,27,20,17,17,10,7,4,12,13,14,13,14,9,10,22,17,24,22,20,11,14,30,32,18,17,16,9,17,26,40,27,33,23,44,32,43,37,56,45,52,31,22,66,57,65,42,55,41,33,64,26,32,41,28,21,14,32,27,48,45,46,12,7,3,1,0,1,0
"13",3086414,"HIDALGO",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,2,1,1,2,0,2,3,3,4,0,0,0,1,11,2,4,23,1,0,11,16,16,37,34,15,12,22,16,20,15,23,9,6,16,19,16,11,4,1,3,11,18,9,5,15,20,8,17,17,16,30,13,11,5,17,22,12,29,18,11,14,28,38,31,40,42,14,6,36,22,33,58,35,36,14,51,49,38,31,60,15,14,37,40,34,44,49,22,16,39,52,33,37,18
"14",8409693,"JALISCO",0,1,0,3,0,2,3,4,3,13,9,3,7,11,10,17,12,15,7,2,12,18,18,8,7,4,4,11,10,9,10,11,3,6,4,7,8,6,3,2,3,9,6,13,10,8,0,6,7,4,7,6,6,2,2,5,2,10,4,5,3,3,12,8,10,3,8,2,2,3,11,8,14,18,5,14,13,37,45,51,39,31,33,89,97,112,76,120,55,66,107,100,88,92,120,113,83,145,118,103,79,76,78,52,111,91,108,105,133,64,33,182,142,198,278,293,125,92,174,128,186,154,96,64,43,177,96,120,159,180,222,85,209,187,192,335,258,144,72,204,167,199,217,217,112,62,239,282,242,261,226,161,84,287,306,153,21,0
"15",17427790,"MEXICO",0,0,1,1,1,3,1,5,1,6,7,0,1,2,5,2,5,1,1,1,7,4,8,1,3,0,3,2,2,3,1,1,0,1,0,6,3,5,2,0,0,2,4,3,3,2,0,0,2,0,0,1,3,0,1,2,6,4,2,4,2,2,9,12,9,4,7,1,5,7,9,13,11,24,15,9,18,42,21,44,30,24,14,65,73,80,79,145,64,64,180,124,130,130,156,105,50,129,164,168,91,123,68,62,232,213,190,165,182,83,92,226,183,192,181,260,123,95,225,265,334,449,292,288,273,612,504,689,611,723,282,231,731,751,579,534,506,218,156,518,423,629,491,596,174,166,597,455,625,528,547,217,116,262,229,159,75,4
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,1,0,3,4,7,8,7,7,6,12,14,33,19,21,15,10,34,20,29,25,36,22,13,29,25,34,33,25,11,17,46,38,47,82,108,26,21,63,55,43,61,57,51,18,57,70,78,90,38,33,33,78,72,86,71,91,40,32,154,119,122,145,206,73,31,117,155,138,130,150,42,30,169,131,169,202,192,48,17,102,6,6,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,6,8,1,2,11,11,13,11,8,7,14,12,15,18,17,13,13,5,21,16,21,12,9,13,8,22,27,22,17,15,5,11,24,23,13,15,12,8,8,14,11,21,21,7,2,10,24,13,44,26,30,10,9,37,34,28,34,53,12,13,48,34,32,33,35,6,15,46,59,35,24,36,5,12,28,18,21,7,0
"18",1288571,"NAYARIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,2,1,5,3,6,10,12,10,8,15,9,14,9,6,9,3,14,9,12,9,4,3,4,12,12,13,10,7,10,3,17,12,12,8,18,21,20,30,20,18,18,12,17,15,24,19,32,32,24,7,12,18,33,26,23,22,27,8,28,14,26,41,26,17,5,19,23,16,22,31,15,16,37,36,26,14,0
"19",5610153,"NUEVO LEON",0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,4,0,2,2,10,6,3,6,3,2,3,3,3,2,2,0,0,0,1,1,1,4,3,0,2,6,3,3,5,1,2,1,3,1,1,0,2,3,0,2,4,0,3,8,3,2,9,12,6,7,4,3,3,9,7,9,25,40,14,6,26,43,35,48,42,30,33,63,97,100,54,73,41,37,74,71,95,76,86,47,30,97,109,98,235,343,277,220,185,302,269,224,158,57,59,124,64,49,65,74,107,85,172,184,203,146,131,101,106,227,236,144,151,173,184,181,219,267,298,293,198,192,117,291,310,307,355,394,177,162,216,140,91,65,57,36,25,53,73,66,53,10
"20",4143593,"OAXACA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,1,0,0,1,1,3,2,2,3,1,3,5,5,7,1,2,4,7,11,21,16,34,6,13,10,19,23,45,25,12,6,16,12,16,6,8,15,6,19,11,10,6,15,6,6,13,7,7,11,20,16,5,16,17,19,18,9,23,15,12,20,12,20,18,18,18,33,41,45,21,29,34,27,91,87,52,55,35,22,20,77,40,30,29,74,18,11,35,70,48,39,0
"21",6604451,"PUEBLA",0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,4,0,2,1,0,1,0,0,1,0,0,2,12,5,10,5,4,4,17,25,26,34,16,7,26,35,40,38,24,10,21,63,32,27,34,41,18,25,52,47,57,29,17,10,24,72,53,41,34,41,18,17,52,27,30,41,46,33,20,59,51,46,58,27,24,26,63,44,52,72,86,70,23,57,88,76,113,109,47,33,149,127,171,162,139,96,51,182,185,175,239,239,66,20,171,169,148,130,17
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,7,4,3,4,2,9,15,6,16,4,17,20,16,29,22,15,9,22,37,28,21,20,3,6,22,20,14,5,21,14,12,25,18,19,11,10,9,11,19,17,9,10,16,8,7,23,19,13,16,13,10,6,17,15,10,12,23,11,21,18,33,50,51,43,39,28,68,63,42,41,46,24,21,35,52,52,64,28,14,9,34,25,22,15,5
"23",1723259,"QUINTANA ROO",0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,2,0,2,2,2,0,0,0,0,2,4,3,2,0,1,3,0,2,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,3,0,0,3,1,0,2,3,0,1,2,1,2,3,4,3,6,11,11,12,13,6,6,6,12,19,23,26,22,7,6,35,27,17,21,17,8,14,16,22,16,15,13,11,6,23,13,16,16,9,16,9,15,16,10,9,18,15,6,17,14,19,19,8,6,9,16,25,23,36,19,17,16,27,26,30,37,29,14,13,41,26,25,30,34,20,19,30,23,30,32,49,30,15,44,26,38,29,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,2,0,2,1,1,2,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,2,1,3,3,2,13,5,9,2,8,11,14,13,25,39,39,39,53,29,29,39,45,59,51,32,26,19,32,43,56,32,25,28,24,52,51,29,30,36,27,28,38,40,32,62,64,22,27,52,54,52,62,44,26,33,54,42,84,64,104,34,28,82,98,98,78,109,52,32,93,95,80,60,67,59,45,123,116,138,64,97,41,67,97,66,72,26,0
"25",3156674,"SINALOA",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7,4,4,0,0,0,2,3,4,3,4,0,0,2,1,4,1,1,0,1,0,2,1,0,2,1,0,2,0,1,2,1,0,1,2,3,0,3,2,3,4,3,6,13,10,12,5,6,23,38,34,30,38,12,18,40,25,45,36,39,52,16,41,28,43,20,31,24,8,61,38,45,31,36,14,21,34,20,23,26,48,20,22,45,58,32,96,66,49,23,100,91,89,95,84,37,27,69,99,60,85,86,38,34,100,66,80,67,80,29,50,86,66,69,77,68,31,27,64,22,15,0,0
"26",3074745,"SONORA",0,0,0,1,0,1,2,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,3,0,0,0,1,2,3,4,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2,1,1,1,1,0,1,2,1,0,2,2,0,1,2,9,13,8,7,6,3,10,22,28,21,23,17,13,40,32,34,28,22,15,12,28,28,36,16,25,12,7,38,30,36,31,35,23,25,35,35,41,30,40,15,23,32,26,41,47,25,21,24,49,38,48,58,93,41,18,82,69,90,74,97,34,29,61,66,74,83,74,48,59,75,88,92,85,54,41,16,25,2,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,2,0,2,0,1,2,1,1,9,6,7,11,18,6,17,35,27,21,8,44,47,36,25,35,19,20,30,30,26,9,8,7,8,17,32,22,31,47,22,52,35,47,66,76,82,39,24,67,35,77,59,32,30,55,77,83,75,94,106,75,44,95,90,88,129,143,78,58,134,141,173,168,187,106,84,175,199,192,221,231,88,69,225,203,221,209,14
"28",3650602,"TAMAULIPAS",0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,1,1,1,1,1,4,2,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,2,0,3,0,2,2,0,2,0,5,3,6,3,5,10,11,13,12,23,14,5,11,19,22,32,24,24,10,14,24,34,49,15,41,11,23,67,64,72,65,70,73,38,108,49,90,90,101,47,47,144,131,129,147,88,62,48,91,112,86,115,84,52,31,126,127,147,232,268,115,21,251,297,191,152,246,121,125,217,188,209,163,172,140,154,198,71,8,2,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,1,0,1,0,3,8,6,3,4,8,6,5,14,19,7,7,19,13,21,15,13,4,8,17,17,16,27,19,8,6,49,47,18,10,30,15,2,21,22,17,23,24,25,9,40,46,17,38,10,30,11,25,30,41,26,35,32,18,27,37,59,61,64,30,13,49,52,73,104,97,30,12,49,59,53,65,55,28,20,38,40,43,23,1
"30",8539862,"VERACRUZ",0,0,0,0,0,1,2,2,1,1,2,0,1,2,1,1,3,3,0,0,3,1,1,3,6,2,5,3,3,2,5,0,0,0,0,1,1,4,3,1,1,6,3,1,3,4,2,2,0,3,4,3,2,1,0,4,3,1,2,6,3,4,1,6,2,5,5,0,2,3,2,2,3,9,5,2,6,28,18,15,19,6,2,17,40,46,60,40,19,15,57,63,48,59,43,15,9,52,50,52,23,24,25,13,58,62,52,37,52,23,27,79,73,60,71,62,36,20,60,49,60,47,39,25,37,48,41,55,45,64,29,24,73,59,70,55,61,40,33,86,74,77,83,66,60,26,57,72,69,71,38,28,32,55,50,49,12,0
"31",2259098,"YUCATAN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,4,2,6,0,1,0,1,1,0,5,2,0,6,5,5,8,13,21,9,11,16,26,14,11,15,18,14,28,22,29,35,29,15,15,23,29,31,17,21,18,17,46,38,29,24,40,23,44,44,35,35,49,41,21,9,96,57,99,60,31,20,44,72,66,65,75,54,24,40,69,57,81,64,63,28,28,76,70,71,63,63,24,39,73,77,101,55,95,46,40,62,41,39,9,2
"32",1666426,"ZACATECAS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,3,2,0,1,1,3,7,3,7,7,6,10,26,17,12,9,1,5,10,11,7,29,12,14,6,10,12,22,5,7,5,3,13,13,13,10,7,25,10,22,22,28,23,22,12,37,39,25,19,10,18,11,7,37,23,13,36,35,13,5,26,20,31,26,31,23,10,42,22,30,14,25,7,11,20,43,22,24,33,6,7,21,16,8,23,0
"000",127792286,"Nacional",0,5,16,18,6,14,28,28,15,44,39,5,20,36,51,59,43,42,16,21,65,52,56,46,46,15,33,43,50,30,39,32,8,12,13,51,45,44,29,8,16,71,49,40,35,32,9,17,28,30,30,23,26,12,9,32,32,39,41,63,24,27,78,75,67,65,53,24,31,78,98,108,176,224,114,135,197,364,404,485,473,331,265,699,969,1097,1053,1254,608,599,1365,1213,1253,1386,1393,844,585,1450,1532,1653,1227,1433,964,762,1947,2027,1896,1771,1973,878,800,2186,1955,1907,2111,2363,1190,940,2485,2611,2941,3313,1702,1452,1500,3399,2917,3366,3370,3710,1911,1317,3835,4024,3730,4043,4108,2024,1223,4270,3944,4208,4033,4375,1999,1563,4317,4037,4236,3867,4022,1944,1317,3384,2979,2463,1334,125
