cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,4,2,1,2,5,3,3,7,6,8,2,2,4,1,4,4,13,14,29,10,10,14,10,13,9,12,11,7,26,17,14,16,14,9,11,33,23,29,37,43,27,23,40,53,41,52,38,33,20,55,70,57,61,55,52,21,115,97,106,140,140,88,68,174,167,178,213,168,123,80,191,227,180,197,206,113,76,319,289,264,263,203,59,15,12,2,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,26,27,31,18,13,40,28,52,28,46,36,40,34,33,45,57,46,68,59,50,41,126,109,143,137,126,65,71,137,116,109,111,95,61,74,141,102,116,121,117,85,65,146,102,138,152,136,70,94,134,146,100,90,102,17,0,22,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,18,11,15,19,18,22,18,25,24,28,30,25,21,27,33,29,41,37,33,24,25,51,56,45,66,80,54,26,81,70,73,92,79,48,40,86,70,79,95,73,47,42,95,77,65,64,66,50,30,84,111,77,72,100,43,41,76,70,70,71,76,47,20,42,30,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,8,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,28,16,30,20,25,49,26,28,22,49,38,29,57,65,17,31,54,72,59,61,73,41,38,93,129,139,122,163,126,79,223,194,206,171,217,94,68,253,245,231,218,163,105,81,190,192,164,159,116,61,26,79,17,1
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,15,23,25,28,43,27,18,51,34,49,48,48,34,40,83,71,89,60,89,77,85,153,159,178,186,152,159,153,259,272,246,262,304,190,207,346,329,321,299,269,226,237,482,338,333,432,416,251,235,563,516,566,497,559,339,283,640,531,568,564,582,252,321,741,603,682,633,631,350,292,749,727,854,702,722,364,374,952,729,774,644,634,311,311,682,590,543,443,360,114,83,131,35,12
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,26,24,16,27,43,20,35,29,43,45,26,69,59,100,77,103,44,27,66,66,101,79,95,20,35,121,101,90,112,128,46,46,166,125,148,141,133,73,36,189,193,151,162,188,77,45,189,186,193,142,140,36,5,1,5,1
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,18,32,29,33,14,29,47,28,43,35,31,28,48,53,47,53,49,40,25,25,57,53,53,35,49,23,23,46,52,43,47,55,21,17,53,69,35,53,39,25,31,52,45,51,45,48,20,17,71,49,53,50,52,29,26,48,52,44,33,49,17,7,13,0,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,22,11,24,43,33,29,37,23,17,42,41,34,44,56,27,20,50,36,41,46,45,28,25,39,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,27,23,27,27,22,9,40,62,26,24,29,26,21,43,36,67,38,74,30,11,46,39,60,35,51,35,26,79,116,67,65,67,41,21,78,93,72,124,143,75,39,201,145,212,192,238,139,82,121,84,93,83,81,30,43,68,5,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,24,34,24,24,22,16,28,54,66,69,67,79,66,18,124,72,74,102,81,83,36,102,81,91,128,123,117,45,153,127,146,186,152,88,50,107,116,103,112,147,159,69,185,143,107,59,50,63,10,2,4,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,14,18,13,10,6,23,12,20,11,8,14,4,23,14,24,19,29,23,17,28,21,27,31,38,40,23,33,43,43,44,35,41,31,47,31,44,60,43,43,33,71,69,87,102,102,74,64,127,126,122,143,170,142,80,167,165,200,166,149,119,58,194,178,192,196,199,120,85,298,217,220,301,303,158,125,387,354,353,395,336,140,100,165,3,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,1,2,3,8,12,6,8,12,4,9,11,9,13,27,27,20,49,34,29,41,50,28,19,49,61,44,37,35,24,12,51,38,35,29,33,28,21,39,49,42,43,38,28,28,50,39,39,30,37,31,20,49,36,37,29,23,15,12,33,1,2
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,21,26,8,22,17,22,22,18,21,32,34,43,23,44,42,34,47,23,31,32,44,42,38,34,32,69,30,33,23,41,39,26,19,22,45,37,27,40,21,18,13,44,35,44,41,44,38,25,49,32,42,44,46,25,23,46,62,42,39,39,22,29,52,49,56,57,49,27,52,89,61,64,65,82,38,49,74,1,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,28,17,34,13,26,13,19,32,23,24,33,29,25,15,34,26,39,37,56,20,20,49,39,59,38,50,23,19,51,55,77,78,79,59,49,113,92,83,74,61,29,23,86,100,113,88,85,38,18,24,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,49,47,40,38,31,31,62,46,48,70,74,46,38,78,51,56,64,58,50,30,76,52,83,64,61,52,41,71,85,78,101,98,69,64,139,103,122,117,144,59,78,167,183,194,158,182,130,70,208,172,211,192,214,151,101,212,238,220,231,282,83,75,168,187,145,86,59,15,1,4,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,7,20,9,15,33,15,17,28,23,32,26,62,53,40,38,55,43,28,65,58,94,61,94,54,60,134,97,98,107,124,92,81,188,183,194,204,160,134,116,232,218,220,202,197,117,86,187,207,211,205,193,128,68,175,178,140,86,66,28,2,5,4,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,18,11,15,19,27,30,47,39,44,57,48,40,73,84,65,62,65,43,41,59,58,50,84,54,48,46,85,73,96,104,81,53,65,116,87,116,127,145,86,80,123,107,162,142,138,97,82,176,197,222,220,171,103,73,204,161,179,188,177,130,108,284,289,312,269,362,181,101,295,290,299,283,251,135,10,3,5,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,6,3,5,9,4,9,13,19,16,28,31,14,8,25,18,27,33,25,39,34,26,42,35,18,31,31,25,43,35,45,41,29,26,22,39,48,40,33,62,48,17,62,51,69,70,88,68,34,111,114,105,62,95,67,48,127,95,75,92,99,79,64,132,118,168,115,219,123,108,216,243,163,104,157,89,31,2,0,1
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,16,9,17,7,25,16,24,17,20,20,15,36,39,39,21,36,30,25,43,50,41,48,43,30,16,60,37,38,44,44,39,24,63,45,56,55,48,35,26,66,52,60,48,50,26,28,60,54,65,52,40,22,17,6,2,1
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,36,46,30,51,48,44,30,68,74,74,63,66,65,58,95,103,109,119,104,79,69,140,124,132,168,191,132,86,163,150,181,174,174,114,105,213,195,183,179,184,134,112,228,180,195,230,201,108,103,208,219,231,203,186,137,131,319,276,209,205,171,83,28,24,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,9,2,9,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,7,26,20,22,34,33,24,20,37,42,31,60,26,28,30,49,44,34,37,36,19,27,45,52,59,58,42,32,49,54,51,57,70,60,34,30,53,56,62,62,47,29,25,58,48,50,44,34,44,35,89,68,73,82,66,42,57,103,95,112,94,103,83,79,74,30,1
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,1,6,3,2,7,1,9,2,2,8,5,4,3,4,10,9,4,7,7,2,5,5,11,9,9,4,2,9,3,8,13,8,3,3,6,0,15,5,9,11,6,11,12,4,7,14,7,5,16,13,17,16,17,13,12,20,27,34,18,24,19,10,36,33,21,22,15,10,8,21,4,0
"000",127792286,"Nacional",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,2,1,0,1,4,1,9,27,28,60,49,36,68,91,99,107,100,66,48,130,165,141,173,211,159,142,307,277,319,300,335,219,224,536,451,516,409,488,406,427,845,840,866,888,1018,727,668,1360,1311,1247,1336,1522,960,947,1717,1700,1701,1698,1312,1309,1190,2409,1971,2162,2269,2285,1435,1321,2793,2736,2967,2871,3265,2026,1523,3768,3305,3600,3570,3618,1993,1717,4321,4000,4180,3990,4047,2561,1934,4948,4395,4643,4545,4637,2659,2126,5564,5170,5176,4911,5148,2701,2202,5414,5232,4736,4137,3622,1561,838,1265,235,37
