"cve_ent","poblacion","nombre","31-12-2019","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020","06-05-2020","07-05-2020","08-05-2020"
"10","1868996","DURANGO","0","0","0","0","2","1","1","1","2","1","1","0","3","0","1","2","0","0","0","4","1","1","1","0","0","1","1","2","3","0","1","0","0","1","2","0","1","0","1","3","0","4","0","1","0","0","0","2","1","1","0","1","0","0","0","1","1","0","1","0","1","0","2","2","1","2","1","0","1","6","0","1","3","1","1","1","0","4","2","6","0","1","0","7","13","9","17","19","3","3","6","11","15","29","12","27","11","22","21","15","5","7","2","3","13","17","18","18","15","4","6","20","34","10","46","26","10","8","13","25","32","43","10","74","17","26","27","9","4","0"
"11","6228175","GUANAJUATO","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","1","1","1","1","2","0","0","1","1","0","2","0","0","2","1","0","1","3","1","2","2","0","2","5","2","2","1","0","0","3","1","2","1","0","0","1","0","2","1","1","1","4","3","5","3","1","2","3","0","1","0","3","3","1","8","9","2","3","8","10","13","27","25","40","14","47","55","84","88","72","64","19","85","91","78","98","84","31","17","70","72","83","62","56","54","16","60","76","117","102","156","62","35","172","201","222","229","200","104","38","194","307","332","358","153","74","47","227","194","128","0","0"
"12","3657048","GUERRERO","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","2","3","2","2","2","0","1","12","6","12","14","17","10","11","26","20","17","18","10","7","4","12","14","14","12","14","8","10","22","14","23","22","20","9","15","29","32","18","16","16","8","16","25","35","27","31","20","40","21","11","1","0","0","0"
"13","3086414","HIDALGO","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","2","0","2","0","0","0","0","1","1","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","2","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","4","23","1","0","11","16","16","37","34","15","12","22","16","20","15","23","9","6","16","19","16","11","4","2","3","10","15","9","5","15","20","8","15","15","15","28","13","8","4","17","20","10","27","14","9","11","23","31","16","3","0"
"14","8409693","JALISCO","0","1","0","3","0","2","3","4","3","14","9","3","7","11","10","17","12","15","7","2","12","18","18","8","7","4","4","11","10","9","10","11","3","6","4","7","8","6","3","2","3","9","6","13","10","8","0","6","7","4","7","6","6","2","2","5","2","10","4","5","3","3","12","8","10","3","8","2","2","3","11","9","14","18","5","14","13","37","45","53","40","31","33","93","98","118","77","124","55","67","109","102","90","93","120","113","82","145","118","103","79","76","78","51","112","91","107","106","134","62","35","185","147","201","277","292","124","90","175","126","186","154","93","63","41","164","86","84","7","0"
"15","17427790","MEXICO","0","0","1","1","1","3","1","5","1","6","7","0","1","2","5","2","5","1","1","1","7","4","8","1","3","0","3","2","2","3","1","0","0","1","0","6","2","5","2","0","0","2","4","3","3","2","0","0","2","0","0","1","3","0","1","2","6","4","2","4","2","2","9","12","9","4","7","1","5","7","9","13","11","24","15","9","18","42","22","42","30","24","14","64","73","77","78","141","63","64","178","122","129","129","151","101","48","127","161","167","87","124","65","62","229","211","175","159","173","80","87","219","180","189","178","253","115","90","211","247","312","410","135","43","55","172","102","51","7","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","8","1","0","3","4","8","8","7","8","6","11","14","33","19","22","15","10","34","20","30","25","36","22","13","30","25","34","33","24","11","17","45","38","47","82","109","27","21","64","55","43","61","57","52","18","58","71","76","92","39","32","29","71","45","37","0","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","2","0","1","2","6","8","1","2","11","11","13","11","8","7","14","12","14","18","17","13","13","5","21","15","21","12","9","13","8","21","27","22","16","15","6","10","25","24","12","16","16","10","7","17","12","21","24","7","1","13","25","9","27","0","0"
"18","1288571","NAYARIT","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","2","1","5","3","5","10","10","11","8","15","9","13","9","6","9","3","14","9","12","9","4","2","4","12","12","12","9","6","10","3","16","12","14","8","17","18","22","30","17","16","16","12","19","14","20","15","15","3","0"
"19","5610153","NUEVO LEON","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","3","4","0","2","2","10","6","3","6","3","2","3","3","3","2","2","0","0","0","1","1","1","4","3","0","2","6","3","3","5","1","2","1","3","1","1","0","2","3","0","2","4","0","3","8","3","2","9","12","6","7","4","3","3","9","7","9","25","40","14","6","26","43","35","47","42","30","33","62","96","99","54","72","41","38","74","71","93","76","86","47","30","97","110","98","235","344","276","220","185","301","269","222","156","59","59","125","66","49","65","74","107","86","173","181","206","141","123","95","100","209","149","73","23","0"
