cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,5,6,8,7,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1,1,4,1,9,15,9,24,14,5,11,10,5,3,9,3,3,9,10,10,42,21,10,5,21,10,17,18,10,33,6,28,18,18,17,22,22,5,53,30,31,24,23,34,21,40,41,26,64,49,11,25,49,55,46,44,32,17,44,48,26,26,39,27,21,28,41,46,67,82,82,33,34,53,71,38,26,42,16,8,36,37,53,82,47,49,23,46,75,100,212,271,280,135,556,43
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,2,0,0,0,1,0,0,3,2,2,7,0,5,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,1,2,0,2,5,2,4,5,13,4,7,3,14,6,19,99,4
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,3,3,2,1,1,1,1,1,2,0,0,3,1,1,0,1,2,0,2,2,1,1,0,1,1,1,2,0,1,0,4,0,3,3,4,1,3,6,0,8,5,6,2,2,3,4,2,4,11,9,11,7,3,17,11,7,12,10,4,1,18,10,9,8,5,4,10,9,11,9,14,12,8,4,10,11,12,14,12,14,19,30,4,10,6,21,22,51,185,15
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,2,0,2,1,1,4,2,1,1,0,3,3,7,5,4,6,2,2,1,5,1,2,1,6,4,3,7,16,13,12,31,30,14,33,36,17,21,33,10,8,12,10,36,65,40,6,13,53,87,30,43,46,23,12,87,70,45,65,38,26,25,86,78,93,127,92,66,37,161,57,127,185,474,279,172,406,4
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2,5,2,3,0,2,0,0,3,8,3,5,8,1,4,7,6,7,0,4,5,3,7,10,11,9,5,9,7,11,13,8,12,6,6,4,30,8,10,11,13,14,5,7,12,20,5,13,6,5,32,10,8,5,6,4,0,24,14,10,11,12,11,7,8,10,15,17,10,5,8,14,15,9,19,23,20,5,13,12,15,9,15,6,3,7,6,16,20,48,31,21,74,106,138,141,135,82,53,135,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,2,2,2,1,2,0,2,5,5,1,2,1,2,4,8,18,14,22,6,1,15,21,21,19,16,2,5,24,13,4,9,9,4,2,12,14,12,9,23,6,8,13,12,16,15,7,5,9,17,13,13,15,14,18,6,13,37,29,25,48,15,16,35,41,58,64,40,11,11,14,25,30,25,33,24,19,47,38,34,55,63,14,18,47,53,86,155,206,149,118,232,1
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,2,2,0,3,2,0,10,3,3,3,2,15,22,12,23,7,9,26,13,23,18,18,16,18,42,21,39,36,85,85,134,433,37
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,5,5,1,0,2,5,2,1,4,1,1,12,5,4,5,1,1,3,5,3,6,2,5,0,2,6,10,9,7,9,4,4,17,15,28,3,24,9,10,56,12,18,29,36,29,17,21,13,11,23,18,4,5,19,31,26,28,23,11,10,31,35,33,20,26,23,17,33,47,43,73,68,33,68,152,248,248,242,231,225,63,326,332,448,454,447,218,170,404,36
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,9,3,0,1,0,0,2,1,1,5,3,1,2,3,5,2,0,3,4,2,1,2,0,1,0,3,2,3,2,3,1,3,4,8,11,21,8,3,7,20,8,13,17,27,6,13,25,16,26,35,18,2,24,39,24,43,33,29,4,34,44,25,45,63,60,32,119,11
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,6,7,12,6,7,2,16,16,21,19,14,16,6,26,8,14,12,20,8,4,19,10,7,10,7,12,0,6,8,9,9,7,5,2,16,15,10,21,15,3,7,17,15,5,14,9,12,6,14,9,14,21,23,13,11,20,15,9,20,34,11,11,72,29,36,35,25,16,15,22,29,32,21,27,13,10,36,37,25,43,46,48,29,66,58,88,287,368,205,213,378,12
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,4,2,1,2,3,3,3,2,1,1,3,2,1,0,0,3,2,3,2,3,1,1,2,5,1,3,1,3,0,3,2,14,15,4,1,1,5,3,6,6,17,1,7,41,27,12,18,16,38,36,137,6
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,1,1,2,1,1,2,1,0,2,0,1,0,1,0,1,1,1,1,9,3,3,4,20,25,9,125,9
"000",127792286,"Nacional",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,2,2,3,3,3,7,8,11,8,11,2,5,3,7,11,8,12,6,9,10,16,12,10,19,14,18,32,28,35,48,38,28,22,54,57,39,65,44,46,41,81,158,171,139,180,119,83,198,208,190,212,244,142,105,300,270,297,302,336,171,147,314,350,283,276,354,198,146,394,349,375,328,387,242,134,425,392,464,430,472,246,206,522,506,428,552,530,320,234,553,484,576,647,669,287,309,677,677,801,864,951,339,332,1052,1124,1047,1140,1324,535,370,1108,1126,1235,1196,1110,457,345,1310,1490,1524,1759,1863,1040,617,2429,2106,2860,4182,6555,4442,2946,10454,831
