estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,1,0,4,121,262,310,832,5,11,15,66,9390,17686,23226,55571,41,109,100,211
Baja California,63,202,98,144,329,684,924,2066,36,72,112,594,19881,38147,48459,79391,280,616,616,1171
Baja California Sur,9,19,9,56,264,619,750,1504,7,12,3,13,6210,11657,13938,27036,19,37,35,85
Campeche,6,16,8,27,82,200,232,489,1,2,3,9,4558,8543,10764,22191,8,21,16,50
Coahuila,18,27,16,47,449,1073,1342,2855,693,1963,2069,5048,22389,42739,52645,101611,157,427,409,650
Colima,10,21,4,9,149,303,347,747,103,178,216,157,4587,8925,10424,20107,8,26,20,93
Chiapas,25,63,38,78,403,1288,1514,2557,111,137,223,400,12954,27693,34139,60933,38,115,133,280
Chihuahua,63,150,148,53,688,1488,1866,4093,513,1164,1468,2718,23959,46967,62433,125668,396,678,839,2104
Ciudad de México,10,29,18,22,836,2009,2494,5203,76,160,182,197,46837,94847,131488,287037,274,884,933,2602
Durango,1,3,3,19,253,542,686,1599,0,0,0,0,12442,23565,30750,68293,14,60,58,287
Guanajuato,3,7,6,23,660,1207,1824,3344,65,70,89,119,28933,52863,67472,148119,138,321,319,1002
Guerrero,100,174,209,283,315,538,867,1380,441,804,1183,2254,15106,25054,34988,58352,25,66,64,211
Hidalgo,94,82,156,9,368,710,1132,1926,0,3,1,0,15884,31618,43803,86180,54,179,178,352
Jalisco,22,61,41,48,776,1633,2036,4598,214,527,548,1072,35776,72574,90264,174912,483,1464,1501,3718
México,57,97,121,163,1010,1790,2649,5281,334,807,969,1326,61100,121055,165175,356862,206,604,546,1724
Michoacán,10,32,18,26,497,941,1307,2092,98,124,187,305,19629,38358,51132,87447,38,104,112,296
Morelos,54,45,65,113,246,432,664,746,17,25,23,62,10103,18329,23865,46432,24,49,66,102
Nayarit,18,16,40,16,304,847,921,1712,0,0,0,0,7179,14201,18070,36618,28,47,69,181
Nuevo León,22,55,31,101,987,2193,2732,7127,16,36,41,73,35163,73416,89011,202012,148,426,434,962
Oaxaca,8,31,20,45,597,1293,1619,2796,411,876,1089,1469,15069,31418,39715,76790,41,127,103,386
Puebla,4,14,18,39,393,887,1212,2469,28,31,36,160,24357,50769,64662,146456,83,179,181,601
Querétaro,3,4,3,7,236,470,692,1108,2,3,3,6,14310,26537,34023,66281,40,156,141,307
Quintana Roo,25,70,49,30,365,692,766,2055,0,0,1,4,7288,16285,18827,38284,11,40,42,125
San Luis Potosí,13,40,28,25,659,1300,1621,3419,0,4,7,121,18830,34155,43058,90440,124,307,324,574
Sinaloa,40,120,84,70,592,1117,1358,3052,4,32,50,72,22026,42701,54537,94455,140,358,343,581
Sonora,14,130,97,93,307,684,818,1856,477,1103,1239,1725,19744,35141,45304,91830,186,407,404,1369
Tabasco,17,46,24,57,308,599,821,1323,260,452,499,458,9302,17395,22973,40849,33,68,73,106
Tamaulipas,42,84,63,87,1267,2943,3336,6490,844,2363,2715,4591,25341,53591,63639,130275,160,388,387,740
Tlaxcala,7,14,11,2,206,418,607,1148,31,18,29,5,8460,16832,21849,46591,20,74,69,227
Veracruz,142,302,280,191,800,1561,2178,3992,153,392,541,1553,27448,55716,75358,153376,93,207,251,494
Yucatán,10,18,19,6,114,260,320,378,6,12,9,0,11767,21170,26516,54106,45,82,79,199
Zacatecas,5,10,13,7,774,1531,2109,4403,215,506,715,1075,18435,34794,43802,94417,100,226,203,622
