cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020
"11",6228175,"GUANAJUATO",0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,2,0,0,1,1,0,2,0,0,2,1,0,1,3,1,2,2,0,2,5,2,2,1,0,0,3,1,2,1,0,0,1,0,2,1,1,1,4,3,5,3,1,2,3,0,1,0,3,3,1,8,9,2,3,8,10,13,27,25,40,14,47,55,84,88,72,64,19,85,91,79,98,84,31,17,71,72,83,63,56,54,16,60,77,117,103,156,62,35,172,201,223,230,201,104,38,194,312,333,361,155,74,53,239,228,267,283,282,91,49,317,273,267,318,318,112,49,352,275,252,252,256,98,69,348,288,202,224,209,82,29,194,129,10,0
"12",3657048,"GUERRERO",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,0,1,2,3,2,2,2,0,1,12,6,12,14,18,10,11,27,20,17,17,10,7,4,12,13,14,13,14,9,10,22,17,24,22,20,11,14,30,32,18,17,16,9,17,26,40,27,33,23,44,32,43,38,56,45,52,31,22,66,57,65,42,55,41,33,64,26,32,40,28,21,14,29,23,35,15,6,1,2,0,0,0,0
"13",3086414,"HIDALGO",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,2,1,1,2,0,2,3,3,4,0,0,0,1,11,2,4,23,1,0,11,16,16,37,34,15,12,22,16,20,15,23,9,6,16,19,16,11,4,1,3,11,18,9,5,15,20,8,17,17,16,30,13,11,5,17,22,12,29,18,11,14,28,38,31,40,42,14,6,36,22,33,58,35,36,14,51,49,38,31,60,15,14,37,39,34,42,49,21,14,35,41,22,0
"14",8409693,"JALISCO",0,1,0,3,0,2,3,4,3,13,9,3,7,11,10,17,12,15,7,2,12,18,18,8,7,4,4,11,10,9,10,11,3,6,4,7,8,6,3,2,3,9,6,13,10,8,0,6,7,4,7,6,6,2,2,5,2,10,4,5,3,3,12,8,10,3,8,2,2,3,11,9,14,18,5,14,13,37,45,52,39,31,33,91,98,117,77,121,55,67,108,103,89,92,120,113,83,145,118,103,79,76,78,52,111,91,108,105,133,64,34,182,145,199,278,293,126,92,175,128,186,155,98,64,44,178,97,120,159,180,222,86,210,189,193,335,262,145,72,209,169,198,218,218,115,62,243,281,242,264,222,136,71,187,0,0,0
"15",17427790,"MEXICO",0,0,1,1,1,3,1,5,1,6,7,0,1,2,5,2,5,1,1,1,7,4,8,1,3,0,3,2,2,3,1,1,0,1,0,6,3,5,2,0,0,2,4,3,3,2,0,0,2,0,0,1,3,0,1,2,6,4,2,4,2,2,9,12,9,4,7,1,5,7,9,13,11,24,15,9,18,42,21,44,30,24,14,65,73,79,79,145,64,64,180,124,129,130,156,104,50,128,164,168,91,123,67,62,232,214,190,166,182,83,92,226,183,192,181,256,123,95,225,262,335,449,292,288,272,607,501,684,607,717,281,230,729,749,577,536,504,218,155,519,422,623,486,595,171,161,580,439,599,453,451,134,57,136,77,14,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,1,0,3,4,7,8,7,7,6,12,14,33,19,21,15,10,34,20,29,25,36,22,13,29,25,34,33,25,11,17,46,38,47,82,108,26,21,63,55,43,61,57,51,18,57,70,78,90,38,33,33,78,72,86,71,90,40,32,154,119,122,145,206,73,31,117,154,138,130,150,43,30,169,131,169,202,189,22,16,39,3,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,6,8,1,2,11,11,13,11,8,7,14,12,15,18,17,13,13,5,21,16,21,12,9,13,8,22,27,22,17,15,5,11,24,23,13,15,12,8,8,14,11,21,21,7,2,10,24,13,44,26,30,10,9,37,34,28,34,53,12,13,48,34,32,33,35,6,15,46,59,35,23,33,3,7,24,10,0,0
"18",1288571,"NAYARIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,2,1,5,3,6,10,12,10,8,15,9,14,9,6,9,3,14,9,12,9,4,3,4,12,12,13,10,7,10,3,17,12,12,8,18,21,20,30,20,18,18,12,17,15,24,19,32,32,24,7,12,18,33,26,23,22,27,8,28,14,25,41,26,17,5,18,22,16,19,31,14,15,36,31,0,0
"19",5610153,"NUEVO LEON",0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,4,0,2,2,10,6,3,6,3,2,3,3,3,2,2,0,0,0,1,1,1,4,3,0,2,6,3,3,5,1,2,1,3,1,1,0,2,3,0,2,4,0,3,8,3,2,9,12,6,7,4,3,3,9,7,9,25,40,14,6,26,43,35,48,42,30,33,63,97,100,54,73,41,37,74,71,95,76,86,47,30,97,109,98,235,343,277,220,185,302,269,224,158,57,59,124,64,49,65,74,107,85,172,184,203,147,130,102,105,225,237,143,150,174,184,182,219,265,302,292,201,194,116,291,313,305,357,362,161,161,110,78,86,58,54,36,25,44,51,26,0
"20",4143593,"OAXACA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,1,0,0,1,1,3,2,2,3,1,3,5,5,7,1,2,4,7,11,21,16,34,6,13,10,19,25,45,26,12,7,16,12,16,7,8,15,6,19,11,10,6,15,6,6,13,7,7,11,21,16,5,16,17,19,18,10,23,15,12,20,12,20,18,18,18,33,41,46,21,29,34,29,91,87,52,55,35,22,20,77,40,30,29,74,18,12,32,31,0,0
