"cve_ent","poblacion","nombre","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020"
"000","127792286","Nacional","0","1","1","0","0","2","0","0","1","1","0","1","1","2","2","0","2","0","2","1","3","10","3","0","2","3","2","9","3","5","0","1","1","1","2","1","4","4","1","4","13","9","8","6","3","2","4","7","4","3","1","7","5","4","9","13","25","39","63","24","27","77","70","66","62","52","23","31","77","97","105","175","221","113","128","190","363","403","474","475","328","266","690","956","1086","1019","1224","605","592","1338","1185","1187","1300","1314","803","551","1387","1471","1568","1145","1203","619","481","1591","1467","1239","1013","993","267","48"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","2","0","3","2","0","1","0","3","1","4","1","1","10","8","5","17","12","17","12","20","18","33","26","36","35","17","29","39","26","40","43","39","30","10","39","32","30","1","16","21","13","39","37","44","23","13","0","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","1","0","0","0","1","0","3","5","3","0","0","1","0","5","4","4","5","13","3","2","8","11","26","20","35","18","11","60","44","53","50","53","29","16","50","42","40","33","25","13","6","31","31","25","26","36","12","6","20","33","12","11","2","0","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","1","0","1","2","0","1","0","3","2","1","2","2","1","1","3","3","6","2","6","6","0","11","8","17","14","18","7","10","28","30","26","27","26","21","13","55","31","43","38","17","18","12","30","26","14","6","4","3","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","2","2","3","5","2","5","6","6","3","7","5","2","1","5","8","6","2","2","2","23","18","9","4","7","1","2","0"
"05","3218720","COAHUILA","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","3","1","1","0","3","2","1","0","1","4","4","6","2","4","3","2","5","8","6","12","11","11","11","14","9","20","41","31","51","21","35","65","46","37","62","73","47","65","110","110","96","51","89","41","16","71","91","66","83","59","3","0"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","1","0","3","3","0","0","2","0","0","3","2","0","1","1","6","8","5","3","1","1","3","5","5","8","3","5","0","3","1","3","5","1","0","6","1","4","3","3","1","1","0","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","1","2","1","2","2","3","7","1","2","13","7","6","17","7","10","15","19","19","19","15","9","5","10","9","16","3","7","6","4","13","17","12","10","10","8","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","1","0","1","0","0","1","0","1","1","2","2","0","5","1","7","8","2","6","6","4","18","14","14","7","7","16","14","7","13","8","11","8","12","10","14","18","10","12","10","24","11","17","10","3","0","0"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","1","0","0","1","0","0","0","2","1","0","1","1","3","12","12","3","3","21","6","14","15","14","6","7","19","27","32","52","48","36","28","39","75","84","90","79","33","19","64","142","139","117","181","66","63","141","142","122","195","241","95","59","225","322","386","274","294","118","81","383","432","358","234","270","33","21"
