cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,3,1,5,4,2,4,6,3,7,2,3,3,5,4,5,5,4,4,1,2,5,3,9,4,1,4,2,2,3,4,7,3,2,6,5,3,1,4,4,3,5,3,4,2,3,2,3,2,2,8,8,5,4,3,3,2,2,3,3,2,2,4,2,4,4,5,4,1,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,7,9,12,8,12,17,10,20,16,16,14,15,18,19,24,18,18,28,21,29,22,21,26,14,30,31,28,26,33,34,27,30,30,36,36,27,30,40,50,33,40,21,26,27,31,31,29,29,36,18,32,29,32,29,23,27,25,39,27,30,17,28,21,30,26,30,22,18,28,22,20,13,19,23,23,23,24,24,20,15,28,30,19,24,26,27,33,41,26,23,18,25,24,23,17,18,8,22,24,17,22,24,17,19,20,14,26,15,21,18,13,21,15,12,15,20,28,13,8,12,16,7,9,8,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,1,0,2,0,2,0,2,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,4,1,5,4,1,2,2,0,1,3,3,4,5,4,4,3,2,7,2,3,4,4,5,4,6,3,7,5,6,8,7,3,4,4,3,2,2,0,3,2,3,3,1,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,4,1,1,1,5,3,3,1,4,3,2,0,2,4,3,2,2,2,6,9,3,2,2,2,6,5,6,3,8,2,4,8,4,5,9,8,5,8,15,13,10,6,12,8,11,9,7,12,14,10,13,17,13,10,11,10,7,14,9,9,12,9,12,8,6,9,9,14,8,8,12,4,10,11,9,17,7,7,8,2,5,5,1,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,4,0,0,3,1,1,2,4,7,5,5,5,3,2,3,6,5,11,6,2,10,8,11,13,4,11,13,12,14,11,15,24,22,16,19,10,24,26,26,15,11,22,13,11,15,21,14,15,11,12,9,17,17,22,12,16,13,26,11,18,11,8,12,15,18,9,18,11,12,14,13,16,10,14,11,11,10,8,2,10,7,6,3,5,3,3,6,3,7,4,6,7,4,7,5,6,2,0,2,4,3,1,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,6,4,1,1,4,3,2,7,2,7,5,4,8,10,7,2,14,8,5,6,6,7,10,15,6,9,11,5,12,17,11,11,12,8,10,14,13,9,5,8,13,16,8,3,10,13,3,9,14,8,12,10,8,6,10,11,9,5,12,16,14,16,9,9,12,8,7,13,10,11,10,7,6,6,5,10,6,6,6,8,3,7,8,8,5,5,10,4,4,11,9,7,10,12,10,7,9,5,3,6,5,5,8,9,6,9,7,5,6,8,5,12,10,10,5,4,5,8,9,7,7,6,3,5,1,1,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,1,1,0,1,3,4,1,2,4,7,5,5,7,6,4,16,11,6,17,23,23,11,14,24,22,25,17,25,30,35,40,28,36,46,62,57,47,40,63,79,70,56,68,66,80,80,69,82,72,82,76,88,93,99,100,97,110,111,103,87,116,96,99,101,99,97,86,98,82,78,105,99,74,99,94,91,95,88,96,89,93,96,101,103,87,63,99,92,85,79,59,77,59,61,52,48,62,70,53,44,60,71,56,57,60,53,60,62,41,43,34,48,56,39,55,55,42,41,50,45,40,40,25,36,30,42,37,37,40,27,42,36,31,40,33,44,45,32,39,43,18,22,4,0
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,3,0,1,1,0,0,1,5,1,3,0,0,2,4,2,2,2,2,2,2,0,2,0,0,0,1,2,4,1,3,1,1,1,2,2,0,0,0,3,4,2,0,0,1,1,1,2,6,2,3,0,3,4,1,1,1,1,4,3,6,4,8,7,4,5,7,4,4,8,5,7,9,3,6,3,8,6,6,11,7,11,9,7,18,17,14,12,18,18,11,15,16,12,17,10,10,12,16,20,25,20,15,18,17,22,24,17,20,14,16,11,12,25,14,26,16,29,19,19,25,19,18,22,13,10,12,4,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,2,1,0,1,0,1,2,1,0,0,2,1,1,1,1,1,2,2,2,2,4,3,2,4,1,5,1,3,2,0,2,3,1,0,2,2,3,0,3,4,4,9,6,6,4,6,5,7,2,2,5,7,8,1,10,3,3,7,4,2,6,6,9,3,10,5,7,7,4,8,9,7,3,0
"10",1868996,"DURANGO",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,5,1,0,0,3,3,2,2,4,3,0,3,1,4,1,2,4,2,2,3,2,6,4,7,4,6,6,6,9,2,3,1,3,3,4,5,5,5,2,5,2,2,7,5,2,3,4,4,7,7,5,2,10,7,4,7,4,7,6,6,3,10,2,4,6,1,8,4,4,1,3,5,9,4,3,5,7,7,3,5,5,5,0,2,0
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,4,4,0,2,5,2,5,4,5,7,11,9,12,7,15,13,10,11,5,11,11,8,21,12,19,12,12,16,15,16,11,18,13,25,16,14,24,16,22,25,19,23,28,24,17,21,30,14,18,15,13,12,24,17,21,27,26,14,36,22,24,32,22,19,30,21,20,18,13,20,25,18,14,26,19,14,5,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,16,23,20,28,17,17,22,19,23,22,19,22,18,18,27,22,15,19,23,19,29,14,16,29,15,15,16,21,24,20,19,19,10,11,13,20,12,12,22,9,12,15,13,7,13,23,12,9,11,13,11,14,14,11,13,10,14,14,8,6,6,10,8,8,10,8,11,6,5,10,5,5,4,1,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,6,18,6,12,11,6,17,13,10,5,9,6,10,10,8,14,11,17,14,14,14,15,15,13,7,14,14,12,9,15,19,13,16,16,16,17,17,10,15,17,23,17,19,8,13,11,15,3,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,23,17,16,21,13,22,13,22,26,14,27,17,24,27,16,24,26,26,21,26,26,27,19,23,26,33,20,31,21,32,37,28,27,24,25,26,21,34,29,29,23,36,28,17,21,27,30,32,18,31,22,28,22,29,34,16,33,18,29,20,24,27,30,30,23,29,18,15,7,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,22,28,27,34,35,38,35,47,46,67,50,56,67,64,74,63,63,91,63,55,66,60,61,64,68,57,84,75,91,87,101,91,99,82,99,96,83,106,97,108,93,91,98,105,108,104,98,120,106,101,104,111,109,126,110,120,108,103,106,119,122,108,95,106,76,81,93,87,82,67,78,88,87,120,81,81,95,60,69,81,104,78,85,77,72,84,66,65,68,72,85,68,72,81,63,66,54,62,63,63,64,64,50,52,51,51,60,47,52,51,45,52,32,31,40,26,7,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,3,4,7,8,6,7,14,7,9,7,12,7,11,11,9,14,18,19,15,23,12,13,13,10,8,10,10,6,8,16,11,6,7,12,9,5,8,9,10,7,8,5,8,15,9,12,8,14,6,12,3,4,5,3,5,8,11,14,17,13,11,14,8,7,11,7,18,6,9,7,12,11,10,3,4,0
