estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,1,2,1,5,126,488,552,1489,2,21,20,113,9266,32285,41507,99167,32,170,184,404,0,0,0
Baja California,82,456,245,283,444,1408,1866,4113,48,121,185,1134,14707,67178,83881,141923,207,1100,1094,2014,0,0,0
Baja California Sur,3,35,13,117,397,1130,1459,2749,2,18,5,41,7193,23647,28056,49428,25,66,63,146,0,0,0
Campeche,5,25,14,34,103,403,475,936,0,3,7,15,4077,15686,19757,38751,5,31,33,104,0,0,0
Coahuila,7,40,26,99,428,1850,2386,4891,730,3323,3508,7919,17415,78689,95172,180304,84,677,667,1054,0,0,1
Colima,11,38,15,24,161,562,630,1713,171,406,472,558,4579,17302,20146,37825,13,48,44,174,0,0,0
Chiapas,28,123,76,185,505,2038,2518,4599,118,309,465,957,11629,48921,61707,112027,47,217,215,478,1,0,1
Chihuahua,68,291,268,200,494,2410,3110,7597,306,1766,2243,3894,16531,77972,103445,222177,215,1107,1347,3144,0,0,0
Ciudad de México,8,48,34,63,889,3565,4601,9402,55,260,300,381,42210,164094,224803,488719,261,1508,1575,4358,1,3,0
Durango,4,13,11,25,242,962,1279,2739,0,0,0,0,10234,43763,56757,113325,20,119,108,427,0,0,0
Guanajuato,4,13,12,46,763,2423,3507,6246,89,189,199,181,28235,102369,127961,265419,120,574,611,1865,0,0,0
Guerrero,81,328,427,665,330,1118,1756,2738,777,2048,2844,4318,12504,47533,65738,108675,25,131,162,366,0,0,0
Hidalgo,90,219,442,103,334,1266,2101,3727,1,3,3,1,14233,56707,77660,157907,49,263,262,635,0,0,0
Jalisco,20,126,88,148,750,3000,3603,8054,210,1011,1025,1795,26339,128365,157839,295785,414,2520,2511,5999,0,0,0
México,229,328,369,512,798,3247,4662,9444,266,1447,1673,2698,54446,221879,294662,633796,159,979,890,3207,1,1,0
Michoacán,4,49,38,39,356,1654,2282,3435,60,240,325,692,17725,70562,92568,146822,24,187,201,445,0,0,0
Morelos,33,97,121,197,228,898,1223,1505,42,69,71,116,7826,32732,41828,82376,19,97,103,171,0,0,0
Nayarit,49,67,104,31,343,1525,1754,3070,0,0,0,0,7382,26849,33772,66665,26,92,127,342,0,0,0
Nuevo León,18,91,60,182,941,3986,4994,12839,22,62,70,148,34160,134129,162291,369072,142,693,730,1767,0,0,0
Oaxaca,7,63,36,90,556,2320,2983,5136,344,1417,1781,2858,13887,57898,73052,135568,58,235,228,674,0,0,0
Puebla,3,20,17,76,401,1798,2377,4758,22,45,65,443,23783,94028,120424,266876,70,316,304,1007,0,0,0
Querétaro,0,5,4,16,192,773,1202,2211,0,7,6,14,12310,48331,61370,119375,46,268,215,538,0,0,0
Quintana Roo,36,143,98,59,310,1463,1550,3267,1,2,2,4,6888,29934,34033,67364,17,71,77,202,0,0,0
San Luis Potosí,57,124,125,52,559,2397,3048,6688,0,7,9,182,16398,65417,81730,167747,91,496,556,1163,0,0,0
Sinaloa,67,276,171,130,602,2103,2580,5499,7,50,69,156,21780,79692,99849,173467,184,662,666,1028,0,1,0
Sonora,17,82,35,176,282,1271,1506,3496,424,1956,2193,3239,16303,64826,82213,162582,137,742,692,2447,0,0,0
Tabasco,31,147,149,168,288,1055,1465,2460,222,817,983,877,9147,33071,43566,77004,16,130,118,194,0,0,0
Tamaulipas,50,282,123,348,1208,5120,6027,12249,1034,4228,4766,8610,23733,98203,116456,234604,115,629,645,1541,0,0,0
Tlaxcala,13,28,25,6,78,700,1005,2017,15,36,49,28,5147,29851,38558,84645,9,109,92,396,0,0,0
Veracruz,104,563,550,350,692,2829,3846,7519,260,691,919,2587,26300,101106,134902,273443,81,347,437,931,0,0,0
Yucatán,11,70,87,39,92,428,544,730,1,18,24,4,9562,39272,48731,96266,31,168,141,330,0,0,0
Zacatecas,1,22,31,16,714,2761,3835,7697,275,933,1275,1926,18030,65788,82126,162188,74,373,357,1054,0,0,0
