cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,4,4,1,2,5,2,5,4,5,7,14,9,12,8,15,13,10,12,6,13,13,9,21,15,21,13,12,16,15,16,14,22,13,25,17,17,25,18,23,25,20,23,29,26,19,22,30,15,20,20,15,15,28,21,24,30,28,20,40,24,24,32,25,19,30,22,23,21,17,22,25,20,18,31,23,19,12,11,11,16,11,12,22,15,14,17,6,5,1,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,21,24,17,21,17,23,20,28,17,17,22,19,23,22,19,22,18,18,27,22,15,19,24,19,29,14,16,29,15,15,16,21,24,20,19,20,10,11,14,20,12,13,22,10,12,15,13,7,14,24,12,9,11,13,11,14,15,11,14,10,14,14,9,6,6,10,8,9,10,8,13,7,5,10,6,9,6,6,4,11,2,13,12,5,11,13,6,5,2,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,12,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,8,18,6,12,11,6,18,13,10,5,9,6,10,10,8,15,11,18,14,14,14,15,17,13,8,14,17,12,9,15,20,13,17,16,16,18,17,11,19,18,23,18,21,14,14,15,26,22,18,14,18,10,11,21,15,13,9,14,14,6,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,20,11,18,23,17,18,21,13,23,14,22,27,14,27,18,24,30,16,24,26,26,21,26,26,29,19,23,26,33,20,31,21,33,37,32,27,26,27,27,22,34,29,32,23,37,29,17,21,28,31,33,22,31,23,28,22,32,35,17,35,20,29,23,25,30,30,34,30,33,23,16,34,28,22,24,23,25,23,18,26,20,18,12,7,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,22,28,27,34,36,38,35,48,47,67,50,57,70,64,74,63,64,92,63,55,66,60,62,65,69,58,85,75,92,87,101,93,99,82,100,96,83,106,97,110,94,94,102,106,110,107,98,121,106,102,108,113,112,128,113,121,109,106,106,122,124,112,95,108,79,83,95,89,82,69,82,90,90,123,85,82,95,61,70,83,109,78,85,79,73,85,70,66,72,74,86,68,74,81,64,67,54,64,67,68,65,67,52,56,53,52,62,50,58,55,53,64,40,45,60,66,42,47,45,46,36,48,39,36,38,21,12,5,9,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,4,6,7,4,8,9,10,7,4,9,11,6,12,8,3,4,8,8,6,7,14,7,9,7,12,8,11,12,9,14,18,19,15,24,12,14,14,10,8,10,10,6,8,17,11,6,7,12,9,5,8,10,10,7,10,5,8,15,10,12,8,14,6,12,4,4,5,3,5,8,11,15,17,13,11,14,8,7,14,8,18,7,9,10,14,15,14,14,12,14,7,11,14,11,16,11,14,3,4,6,4,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,4,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,13,16,16,12,22,10,10,9,10,15,18,22,15,9,15,7,9,10,6,7,5,7,12,13,13,6,7,8,11,8,9,9,12,8,8,9,8,7,11,7,5,9,3,9,7,9,4,1,7,3,4,9,6,8,4,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,4,3,2,3,2,2,3,3,3,10,6,5,9,6,3,4,5,9,2,6,3,1,7,3,4,1,2,2,0,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,8,7,4,1,1,4,3,7,7,6,5,8,4,5,6,8,6,4,5,6,3,13,5,9,7,10,1,9,8,6,9,10,6,3,7,11,6,6,7,7,3,7,8,6,3,2,6,9,11,3,9,7,5,7,1,2,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,11,11,10,7,14,10,11,11,10,20,12,14,16,22,20,28,19,18,26,26,18,23,25,15,22,26,29,30,39,30,29,37,33,29,36,40,35,37,27,36,45,47,27,28,28,33,36,30,37,38,42,45,26,45,33,31,32,41,27,31,37,34,23,23,25,6,0,1,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,8,9,14,11,8,11,9,13,16,16,14,12,6,14,5,14,17,17,24,22,12,17,26,12,17,22,20,12,10,6,15,19,21,15,12,16,12,9,5,10,17,7,11,17,16,14,16,9,14,14,10,13,17,17,15,10,13,7,15,8,9,18,12,12,6,4,10,16,6,8,10,8,11,14,9,10,14,13,10,9,7,8,8,10,10,9,10,5,6,5,7,0,0,1,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,7,8,3,7,5,6,6,9,5,12,9,8,12,5,13,13,13,8,11,8,8,5,15,17,14,14,17,14,12,10,21,23,18,28,23,17,28,21,19,24,19,23,24,35,32,25,33,20,35,29,24,31,32,19,36,36,35,36,40,38,40,25,33,46,47,28,22,23,28,22,26,32,36,32,29,47,34,41,40,35,39,32,28,28,36,52,23,28,42,39,38,33,36,45,38,39,38,43,42,35,33,43,42,31,30,31,30,28,31,28,29,21,22,32,39,26,31,27,34,33,20,17,22,20,6,3,0,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,5,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,7,8,3,8,6,4,6,8,2,6,5,7,9,8,11,3,4,10,8,4,9,7,10,6,3,4,10,10,7,3,8,11,5,6,10,1,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,7,6,4,4,6,6,5,5,8,8,5,7,10,10,6,10,13,9,10,7,9,6,16,10,13,10,22,16,14,11,12,18,11,9,21,11,15,27,24,14,16,16,14,13,13,16,10,16,18,9,18,21,18,10,12,13,16,12,17,21,9,7,8,13,8,11,12,13,12,6,7,4,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,5,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,12,11,7,4,8,4,11,8,3,5,3,7,11,10,7,10,11,6,12,15,14,13,22,14,8,18,18,19,23,31,19,20,13,22,33,15,20,23,12,23,26,18,23,17,15,12,21,15,22,19,15,20,10,5,14,10,6,10,4,3,1,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,4,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,18,18,15,15,24,16,19,15,18,17,28,23,22,23,28,30,27,40,27,34,25,31,36,20,22,21,48,26,26,31,30,31,28,22,24,34,32,31,29,29,27,35,30,29,22,19,24,36,27,37,27,27,29,33,14,22,29,35,29,33,23,33,21,37,29,16,22,21,21,24,27,27,17,20,15,23,19,9,18,27,12,20,22,14,21,11,13,16,18,14,5,10,16,9,18,13,6,5,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,4,7,5,7,8,7,10,10,4,9,14,11,14,17,12,14,23,18,13,18,13,15,25,34,25,22,28,24,33,34,36,25,31,37,38,33,38,29,35,25,36,51,48,44,38,32,41,42,35,42,39,36,40,36,40,40,38,49,46,43,38,39,45,36,41,27,32,29,25,41,21,36,21,16,32,32,21,15,25,15,14,10,14,25,12,14,18,12,5,5,16,8,10,7,6,11,14,5,8,7,5,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,17,13,13,14,7,15,11,23,13,13,15,11,13,15,24,17,17,14,16,21,19,22,21,17,12,22,18,19,18,28,11,24,20,17,17,17,10,18,15,16,17,12,18,17,17,21,25,15,22,18,10,23,16,14,14,21,22,26,25,25,29,16,27,24,17,31,41,35,24,32,34,35,31,38,27,27,33,39,24,26,33,37,32,29,20,32,24,26,27,20,32,24,22,17,20,14,18,15,10,18,19,21,15,19,19,13,11,13,7,6,11,8,8,7,4,1
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,6,2,3,0,4,5,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,4,11,6,19,15,12,19,22,19,9,16,27,19,12,23,26,29,27,28,31,18,26,17,35,37,36,33,31,20,19,13,14,37,15,22,33,25,26,28,26,29,19,31,25,21,29,30,20,22,23,17,22,23,18,27,19,20,14,19,21,16,14,17,12,10,12,15,9,8,7,6,7,3,2,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,7,3,6,5,5,2,5,13,3,6,5,9,4,0,10,9,9,6,14,4,7,7,13,10,16,11,7,7,5,6,9,5,9,7,13,11,4,5,8,5,13,10,5,8,9,10,10,6,7,8,9,14,12,8,10,12,11,6,19,18,8,12,16,11,13,12,17,14,11,7,16,11,9,10,7,8,14,7,7,16,7,4,4,12,5,11,9,3,4,4,4,6,3,5,2,5,2,1,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,15,18,13,19,28,22,25,24,20,36,25,19,22,32,37,37,27,33,28,30,30,34,24,31,25,38,27,35,33,35,26,40,29,32,43,39,40,33,32,30,34,40,42,31,29,34,42,40,26,30,34,44,36,41,37,42,31,24,28,33,36,38,44,39,50,43,44,28,27,39,36,36,50,42,42,46,41,39,35,34,39,42,46,41,40,44,33,33,27,42,34,29,25,25,26,29,23,26,24,24,22,19,14,17,15,11,21,19,5,8,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,8,19,16,8,6,6,15,23,15,10,14,16,8,19,19,9,13,20,10,9,16,13,23,13,7,15,10,13,20,22,22,16,12,12,20,20,14,8,17,18,13,17,18,16,19,11,13,13,18,14,13,19,10,13,9,10,15,10,9,17,9,1,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,2,1,2,3,0,4,3,4,3,6,3,2,1,3,7,5,3,6,4,4,1,6,8,5,3,6,5,5,6,2,6,9,8,12,2,7,7,3,7,12,6,10,7,10,9,9,16,10,5,7,7,6,4,8,1,11,5,5,5,3,4,4,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,66,69,72,80,92,95,80,110,110,136,165,157,165,163,196,223,235,211,208,270,263,295,261,264,332,312,302,296,321,309,322,344,343,377,417,427,397,451,454,460,461,451,438,432,468,482,483,456,487,444,483,509,554,505,537,534,510,550,570,603,569,592,550,609,571,593,586,651,633,572,548,491,567,555,553,541,524,578,579,563,628,593,566,561,560,585,629,681,650,600,609,566,589,588,639,609,618,630,591,567,605,608,643,558,605,572,587,589,606,591,502,561,505,526,510,554,583,522,515,482,506,484,491,489,436,427,412,393,392,409,350,364,297,195,151,62,2
