estado,casos_acumulados,fecha,casos_nuevos
Tamaulipas,31,2020-04-06,5
Tamaulipas,32,2020-04-07,1
Tamaulipas,43,2020-04-08,11
Tamaulipas,46,2020-04-09,3
Tamaulipas,48,2020-04-10,2
Tamaulipas,49,2020-04-11,1
Tamaulipas,53,2020-04-12,4
Tamaulipas,53,2020-04-13,0
Tamaulipas,55,2020-04-14,2
Tamaulipas,60,2020-04-15,5
Tamaulipas,78,2020-04-16,18
Tamaulipas,91,2020-04-17,13
Tlaxcala,1,2020-03-25,1
Tlaxcala,1,2020-03-26,0
Tlaxcala,4,2020-03-27,3
Tlaxcala,4,2020-03-28,0
Tlaxcala,4,2020-03-29,0
Tlaxcala,4,2020-03-30,0
Tlaxcala,4,2020-03-31,0
Tlaxcala,5,2020-04-01,1
Tlaxcala,5,2020-04-02,0
Tlaxcala,8,2020-04-03,3
Tlaxcala,9,2020-04-04,1
Tlaxcala,11,2020-04-05,2
Tlaxcala,14,2020-04-06,3
Tlaxcala,18,2020-04-07,4
Tlaxcala,23,2020-04-08,5
Tlaxcala,29,2020-04-09,6
Tlaxcala,34,2020-04-10,5
Tlaxcala,38,2020-04-11,4
Tlaxcala,40,2020-04-12,2
Tlaxcala,49,2020-04-13,9
Tlaxcala,51,2020-04-14,2
Tlaxcala,58,2020-04-15,7
Tlaxcala,62,2020-04-16,4
Tlaxcala,67,2020-04-17,5
Veracruz,2,2020-03-18,2
Veracruz,2,2020-03-19,0
Veracruz,4,2020-03-20,2
Veracruz,7,2020-03-21,3
Veracruz,7,2020-03-22,0
Veracruz,7,2020-03-23,0
Veracruz,7,2020-03-24,0
Veracruz,7,2020-03-25,0
Veracruz,7,2020-03-26,0
Veracruz,17,2020-03-27,10
Veracruz,23,2020-03-28,6
Veracruz,24,2020-03-29,1
Veracruz,26,2020-03-30,2
Veracruz,27,2020-03-31,1
Veracruz,28,2020-04-01,1
Veracruz,29,2020-04-02,1
Veracruz,35,2020-04-03,6
Veracruz,37,2020-04-04,2
Veracruz,40,2020-04-05,3
Veracruz,41,2020-04-06,1
Veracruz,46,2020-04-07,5
Veracruz,49,2020-04-08,3
Veracruz,54,2020-04-09,5
Veracruz,63,2020-04-10,9
Veracruz,73,2020-04-11,10
Veracruz,78,2020-04-12,5
Veracruz,82,2020-04-13,4
Veracruz,94,2020-04-14,12
Veracruz,106,2020-04-15,12
Veracruz,112,2020-04-16,6
Veracruz,121,2020-04-17,9
Yucatán,1,2020-03-13,1
Yucatán,1,2020-03-14,0
Yucatán,1,2020-03-15,0
Yucatán,4,2020-03-16,3
Yucatán,5,2020-03-17,1
Yucatán,8,2020-03-18,3
Yucatán,13,2020-03-19,5
Yucatán,13,2020-03-20,0
Yucatán,14,2020-03-21,1
Yucatán,19,2020-03-22,5
Yucatán,19,2020-03-23,0
Yucatán,24,2020-03-24,5
Yucatán,29,2020-03-25,5
Yucatán,32,2020-03-26,3
Yucatán,36,2020-03-27,4
Yucatán,38,2020-03-28,2
Yucatán,41,2020-03-29,3
Yucatán,46,2020-03-30,5
Yucatán,49,2020-03-31,3
Yucatán,52,2020-04-01,3
Yucatán,53,2020-04-02,1
Yucatán,59,2020-04-03,6
Yucatán,62,2020-04-04,3
Yucatán,67,2020-04-05,5
Yucatán,72,2020-04-06,5
Yucatán,74,2020-04-07,2
Yucatán,74,2020-04-08,0
Yucatán,88,2020-04-09,14
Yucatán,88,2020-04-10,0
Yucatán,103,2020-04-11,15
Yucatán,107,2020-04-12,4
Yucatán,114,2020-04-13,7
Yucatán,116,2020-04-14,2
Yucatán,128,2020-04-15,12
Yucatán,131,2020-04-16,3
Yucatán,140,2020-04-17,9
Zacatecas,1,2020-03-21,1
Zacatecas,2,2020-03-22,1
Zacatecas,3,2020-03-23,1
Zacatecas,3,2020-03-24,0
Zacatecas,3,2020-03-25,0
Zacatecas,4,2020-03-26,1
Zacatecas,4,2020-03-27,0
Zacatecas,4,2020-03-28,0
Zacatecas,5,2020-03-29,1
Zacatecas,6,2020-03-30,1
Zacatecas,6,2020-03-31,0
Zacatecas,6,2020-04-01,0
Zacatecas,7,2020-04-02,1
Zacatecas,7,2020-04-03,0
Zacatecas,10,2020-04-04,3
Zacatecas,10,2020-04-05,0
Zacatecas,9,2020-04-06,-1
Zacatecas,10,2020-04-07,1
Zacatecas,11,2020-04-08,1
Zacatecas,11,2020-04-09,0
Zacatecas,14,2020-04-10,3
Zacatecas,14,2020-04-11,0
Zacatecas,15,2020-04-12,1
Zacatecas,16,2020-04-13,1
Zacatecas,17,2020-04-14,1
Zacatecas,18,2020-04-15,1
Zacatecas,18,2020-04-16,0
Zacatecas,23,2020-04-17,5
