cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,3,3,3,4,5,6,3,3,2,1,9,5,4,4,5,3,2,4,2,6,10,3,6,2,5,6,6,5,10,9,5,10,10,10,9,7,2,5,3,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,6,8,3,7,7,11,5,3,7,8,14,11,8,10,7,13,15,15,12,9,5,12,4,12,16,15,22,20,10,15,25,9,11,18,17,7,7,4,9,7,3
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,3,4,8,1,2,5,5,2,3,4,2,5,5,7,6,7,3,5,5,5,4,7,5,12,8,7,11,4,13,11,11,8,10,6,5,5,13,14,12,13,16,11,8,6,17,21,16,25,21,15,23,15,15,20,16,19,16,29,26,21,30,18,31,21,19,23,22,15,23,22,19,20,19,14,16,5,7,9,8,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,6,5,6,5,10,3,7,7,3,7,2,8,7,9,4,7,4,4,3,3,3,3,3,1
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,4,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,6,6,8,7,6,11,7,3,5,7,9,12,5,7,8,4,6,6,6,4,4,5,5,4,5,3,2,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,2,3,1,1,2,1,4,4,1,2,1,2,6,5,5,2,2,5,1,1,0,0,5,1,1,0,2,3,6,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,11,6,8,7,6,11,10,9,8,11,9,16,6,9,12,20,6,13,11,4,7,12,15,4,16,16,14,16,17,14,12,24,14,19,14,17,16,26,21,20,17,26,23,24,35,22,31,21,25,27,18,19,18,36,16,19,19,22,22,19,8,9,11,3,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,2,2,1,1,1,0,3,1,1,0,1,3,1,2,0,0,4,2,2,4,4,1,4,6,5,6,7,7,7,9,4,8,13,8,13,14,12,11,17,13,12,14,11,10,20,20,15,15,21,13,20,20,19,14,17,16,16,16,13,7,7,5,2,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,9,9,10,17,13,12,14,6,15,11,22,12,12,13,9,12,14,24,17,15,12,14,20,17,20,21,17,10,17,16,14,15,25,11,22,19,16,15,14,8,15,14,13,16,12,15,15,16,18,19,9,13,7,4,12,7,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,2,4,10,2,7,9,6,6,6,5,2,1,5,7,7,9,5,8,5,16,14,8,8,8,2,4,1,3,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,1,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,5,3,4,2,3,11,3,4,4,6,2,0,8,7,9,5,10,4,6,4,8,7,13,6,3,4,1,3,5,1,4,2,4,4,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,6,15,12,12,13,17,13,19,27,22,24,22,20,35,24,19,22,32,35,35,26,29,26,27,26,32,23,30,25,36,26,30,28,31,20,39,23,31,35,33,34,22,28,23,21,33,32,18,16,21,17,13,4,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,9,9,7,7,8,5,10,8,2,4,4,6,3,5,9,10,3,4,6,11,13,6,7,8,2,5,4,4,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,1,2,2,1,0,4,3,1,3,6,0,2,0,0,1
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,14,8,12,22,19,26,31,33,27,53,57,46,53,67,66,70,79,84,89,76,105,105,129,154,148,157,151,189,204,218,202,191,250,236,274,248,248,313,289,285,280,301,288,306,324,312,347,390,394,366,412,420,416,418,415,406,407,425,438,424,415,420,393,421,459,492,433,453,444,430,466,473,492,457,487,427,471,448,438,427,445,388,303,252,193,197,106,7
