estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,1,0,4,98,312,361,994,6,15,17,68,7256,20906,27342,66619,30,120,121,247
Baja California,87,266,121,179,471,913,1166,2624,40,88,136,736,17329,45994,58146,94054,237,748,730,1407
Baja California Sur,5,23,10,65,226,714,881,1807,2,13,4,17,5742,14308,17029,32120,10,40,42,106
Campeche,1,17,8,28,90,249,273,594,1,2,4,11,3918,10148,13077,26219,5,22,20,59
Coahuila,4,29,18,56,456,1268,1606,3401,785,2356,2512,5626,20305,52045,63753,119867,151,508,479,729
Colima,7,26,6,11,102,347,405,976,96,217,273,249,4033,10763,12619,24601,6,28,24,111
Chiapas,24,71,54,101,341,1437,1713,3180,89,168,281,543,11445,32742,40661,73369,43,141,151,328
Chihuahua,59,185,174,72,502,1711,2178,4944,384,1329,1688,3076,18211,54834,72941,148381,252,794,977,2374
Ciudad de México,9,34,22,34,901,2386,3025,6343,82,201,222,235,36342,110649,152174,336440,324,1048,1093,3047
Durango,9,8,7,19,229,638,819,1862,0,0,0,0,11830,28754,37400,79669,19,67,70,327
Guanajuato,1,7,7,30,643,1478,2196,3985,70,108,121,128,25352,64400,81287,176907,156,395,401,1233
Guerrero,77,212,248,359,312,659,1067,1699,617,1118,1568,2647,11847,30040,41917,70504,41,87,85,254
Hidalgo,50,100,203,13,344,831,1355,2373,0,3,1,0,14481,37780,52127,104681,67,213,211,403
Jalisco,35,80,57,52,678,1928,2419,5450,232,637,670,1246,27578,85014,105401,207425,501,1722,1744,4332
México,48,118,147,242,704,2073,3087,6294,252,943,1085,1683,52084,143728,195367,426048,174,717,659,2091
Michoacán,8,37,23,28,430,1132,1575,2392,34,140,209,405,17248,46777,61644,101780,52,133,146,349
Morelos,36,79,88,126,182,512,766,944,33,45,36,82,7527,21713,28008,56016,23,65,73,127
Nayarit,5,17,44,21,288,996,1060,2025,0,0,0,0,6242,17046,21468,43916,33,60,89,227
Nuevo León,15,59,42,110,877,2592,3244,8558,10,40,47,86,32583,88323,107155,241417,168,504,524,1163
Oaxaca,18,41,29,50,625,1576,2024,3296,293,1001,1247,1799,14028,38204,48183,90793,49,156,132,452
Puebla,4,13,13,48,434,1099,1480,3048,21,30,37,198,22260,61373,77999,176072,48,199,190,712
Querétaro,2,5,4,7,205,549,818,1348,0,3,3,8,11672,31716,40516,79213,51,183,165,356
Quintana Roo,33,93,59,34,476,921,1020,2379,0,0,1,4,8283,20226,23221,45466,22,53,51,142
San Luis Potosí,34,58,46,32,662,1575,2008,4211,4,6,9,138,17595,41963,52845,109116,132,364,399,692
Sinaloa,27,128,101,77,566,1383,1658,3651,4,35,51,82,18528,50943,64822,112580,128,425,404,671
Sonora,9,137,99,108,319,836,984,2239,493,1356,1484,1948,15832,42324,53946,107927,159,497,472,1643
Tabasco,25,58,43,76,262,703,980,1611,201,539,613,560,8190,20952,27786,49602,35,83,93,126
Tamaulipas,26,107,69,104,1003,3472,3971,7887,891,2761,3212,5612,24273,65095,77165,154836,126,446,461,971
Tlaxcala,2,15,12,2,194,496,723,1357,15,25,37,5,7548,20145,26084,55774,15,83,75,283
Veracruz,114,355,341,215,706,1882,2563,4858,118,442,609,1746,25281,66647,89680,182692,66,232,292,609
Yucatán,9,23,23,10,92,304,368,469,11,14,18,1,10555,25969,32221,64279,33,101,93,254
Zacatecas,1,10,14,7,737,1842,2541,5284,221,608,834,1296,16149,42023,52800,112478,61,251,239,747
