"cve_ent","poblacion","nombre","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020","06-05-2020","07-05-2020","08-05-2020","09-05-2020","10-05-2020"
"000","127792286","Nacional","0","2","0","1","0","1","1","2","2","8","6","13","8","11","21","18","25","31","29","26","53","54","45","48","57","61","61","66","76","81","63","83","86","104","112","112","119","116","138","140","138","129","116","143","139","146","136","111","130","131","109","79","55","20","3"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","2","2","0","0","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","5","2","5","1","10","5","6","5","6","9","11","7","10","14","10","15","13","16","10","11","14","14","21","12","12","25","13","20","12","14","14","5","11","14","12","10","13","1","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1","1","2","0","1","0","2","0","1","1","0","0","0","1","0","0","2","0","0","0","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","2","0","1","2","2","2","2","1","1","0","3","0","1","1","1","0","1","1","0","0","0","0"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","2","0","2","1","4","0","1","1","0","0","1","3","1","3","0","0","2","4","2","2","2","2","2","2","0","2","0","0","0","1","1","3","0","3","0","1","0","0"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","1","0","1","3","0","0","3","1","1","1","0","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","6","6","4","1","1","4","3","2","6","2","7","4","3","5","8","6","2","13","5","5","4","2","5","7","8","1","3","3","1","1","0","1","0","0"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","1","0","1","3","3","1","2","4","6","5","5","7","4","4","16","10","5","17","20","19","7","12","19","18","19","12","17","19","15","27","17","18","21","25","22","16","18","18","35","29","20","29","21","29","15","9","6","2","0"
"10","1868996","DURANGO","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","2","1","0","0","0","0","1","0","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","2","1","0","3","0","0","0","2","3","3","1","2","2","0","0","2","3","3","2","3","2","1","3","2","0","0","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","1","0","0","1","1","1","3","0","1","3","4","3","6","3","3","1","4","1","8","2","1","2","1","5","1","3","2","5","3","0","0","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","2","3","0","0","2","1","0","0","2","1","0","7","5","1","4","1","2","7","1","5","6","2","4","5","5","2","0"
"14","8409693","JALISCO","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","2","1","1","3","1","3","2","0","1","2","2","2","0","3","1","3","3","5","2","0","3","1"
"15","17427790","MEXICO","0","1","0","0","0","1","0","0","0","0","0","3","1","0","2","0","4","3","4","4","4","9","6","2","5","9","12","10","11","17","7","9","18","12","19","19","18","18","26","20","27","18","16","27","20","24","24","15","19","16","6","7","2","1","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","1","0","1","1","1","1","0","4","1","0","2","0","1","2","4","0","1","3","2","4","3","1","3","4","5","2","1","1","1","1","0","2","2","2","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","3","1","2","1","2","0","3","3","2","5","5","2","3","6","2","8","6","5","7","9","5","3","4","3","4","0","0","0"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","1","1","0","0","0","0","1","2","3","2","0","1","1","0","0"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","2","1","1","1","1","3","1","2","1","1","3","1","2","3","1","0","0","0","0"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","1","1","1","1","4","1","0","1","3","0","1","4","1","1","1","4","3","4","3","3","2","1"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","3","3","4","7","1","1","4","5","2","3","4","1","5","3","5","5","7","3","5","4","3","4","6","3","8","5","4","4","3","8","4","5","6","4","1","0","0"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","1","0","1","1","1","1","1","2","1","0","0","0","0","0"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","1","1","1","0","0","2","1","2","2","1","1","2","2","3","3","2","2","4","5","3","0","1","4","6","7","10","8","5","7","14","10","8","11","9","9","9","8","4","6","2","3","3","3","0","0","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","2","0","0","0","1","0","0"
"25","3156674","SINALOA","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","2","3","2","5","0","1","3","6","6","10","8","7","8","5","6","3","5","5","4","9","5","7","7","6","10","8","9","4","7","7","9","1","2","4","13","3","4","4","0","0"
"26","3074745","SONORA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","1","1","0","1","3","0","1","2","0","1","0","0","3","2","2","0","1","1","0","2","1","1","0","0","1","0","1","0","0","2","0","0","0"
"27","2572287","TABASCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","0","3","3","0","1","1","0","1","2","4","5","3","3","10","9","8","7","3","10","9","8","10","9","5","8","8","8","15","11","6","13","3","12","6","7","5","1"
"28","3650602","TAMAULIPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","3","0","0","2","1","3","1","2","1","0","3","2","3","1","1","1","3","3","1","0","0"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","1","0","0","1","0","2","0","2","1","1","1","2","2","3","4","3","3","1","3","1","6","3","3","2","4","0","0"
"30","8539862","VERACRUZ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","3","1","1","0","1","1","2","6","3","3","5","2","4","9","9","5","2","11","2","4","11","5","7","9","10","1","1","1","0"
"31","2259098","YUCATAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","2","0","0","1","0","2","1","1","0","1","1","3","1","4","2","1","0","1","3","2","1","1","2","1","1","6","1","3","0","0","0"
"32","1666426","ZACATECAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","1","1","1","3","3","1","1","0","0","0","1","0"
