cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,4,2,1,2,5,3,3,7,6,8,2,2,4,1,4,4,13,14,29,10,10,13,10,13,9,12,11,7,26,17,14,16,14,9,11,33,23,29,37,43,27,23,40,53,41,52,38,33,20,55,70,57,61,56,52,21,115,97,106,141,143,92,69,179,171,178,216,171,126,81,194,224,184,198,210,122,83,333,315,326,315,369,187,115,366,401,389,287,355,201,118,384,408,402,411,398,219,115,423,426,447,412,379,168,148,330,58,0,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,27,29,31,18,13,40,28,51,29,46,36,40,36,33,47,58,48,69,59,51,41,127,109,142,140,129,67,71,136,117,116,111,97,62,77,152,106,116,128,121,89,64,152,104,147,154,146,76,96,140,151,108,104,132,54,70,179,116,94,132,123,136,170,217,246,249,279,258,183,146,146,140,108,115,122,20,94,102,42,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,18,11,15,19,19,22,18,25,25,28,30,25,21,27,34,29,42,37,33,24,25,52,56,45,67,80,54,26,80,70,77,92,79,52,40,88,71,80,93,73,47,41,94,79,66,63,65,51,29,88,110,76,72,96,45,42,79,72,73,76,83,53,28,74,77,84,84,88,43,39,94,81,105,86,76,40,31,97,81,81,71,82,46,38,100,57,20,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,9,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,29,16,30,20,25,49,26,28,22,50,39,29,57,64,17,31,54,73,59,61,73,41,38,93,129,139,121,163,126,80,224,194,206,171,216,99,69,256,250,239,225,171,109,87,212,206,198,209,184,131,88,204,217,194,161,205,134,102,173,216,180,181,189,124,84,220,229,198,191,176,94,94,193,136,37,0
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,15,23,25,27,43,27,18,53,34,50,49,49,34,40,84,73,89,61,91,78,85,153,159,182,188,156,160,153,261,276,247,264,304,194,207,353,338,320,300,274,228,246,489,343,342,433,423,254,242,570,531,577,513,597,353,304,669,568,607,636,669,304,339,776,655,737,669,670,381,325,820,780,904,772,777,394,409,1023,832,848,714,697,364,370,834,806,731,693,685,350,248,712,632,642,536,622,267,258,719,597,724,577,617,258,242,635,555,572,380,462,145,95,281,89,35,2
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,13,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,26,24,16,27,43,21,35,29,43,45,25,69,58,101,77,103,43,27,66,66,101,79,96,21,35,119,101,90,112,129,47,46,168,126,148,142,131,73,39,190,195,152,169,197,80,48,201,193,199,165,242,122,48,217,193,167,154,104,71,26,169,161,111,117,126,42,29,135,127,107,88,67,34,25,12,3,1,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,31,19,32,29,33,14,31,47,28,43,36,32,29,49,53,48,54,49,42,27,29,61,55,58,40,52,25,25,47,54,45,49,56,23,19,66,73,36,60,50,26,31,61,51,54,46,58,25,20,88,54,53,57,57,38,31,63,56,47,37,59,21,17,33,40,59,27,35,15,18,50,29,38,36,35,9,11,39,34,22,29,30,9,7,32,10,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,18,15,19,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,21,11,23,43,33,29,38,23,16,42,40,34,45,57,27,20,49,35,42,46,44,30,33,77,49,48,43,50,44,24,59,60,61,53,60,42,19,78,63,43,61,77,40,31,71,40,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,12,17,16,6,6,5,8,20,27,22,28,27,22,9,39,62,26,24,29,26,21,42,36,67,38,74,30,11,46,39,61,34,50,35,26,80,117,69,64,68,42,21,83,93,75,132,147,77,41,202,154,216,199,243,160,103,276,212,177,228,205,173,101,289,295,284,297,292,191,150,370,340,392,285,297,212,169,475,405,361,258,166,105,99,170,132,29,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,2,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,18,12,12,15,6,14,25,34,24,24,23,15,28,54,66,69,66,79,65,18,122,74,75,102,81,83,36,101,81,92,128,124,113,46,152,153,144,186,167,135,54,169,160,168,155,147,161,72,198,152,186,171,162,135,42,202,183,166,178,176,139,69,188,175,217,209,208,157,52,262,154,103,71,51,10,11,9,2,3,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,2,5,6,7,5,4,2,8,15,6,15,9,13,4,15,21,16,19,14,11,8,24,13,23,12,8,15,5,27,16,28,21,30,25,18,31,22,27,32,39,43,24,36,44,44,46,41,43,38,48,37,49,64,47,48,37,73,72,90,106,105,76,67,131,129,121,145,174,146,81,169,166,201,169,153,121,63,198,180,195,207,209,124,92,309,246,257,308,310,175,146,447,414,433,504,440,215,165,505,416,366,457,342,180,135,345,353,304,271,268,168,120,325,322,290,277,141,32,6,33,36,34,2
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,3,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,5,2,7,9,10,1,2,3,9,12,6,8,12,4,10,10,9,14,26,26,19,47,34,29,41,49,28,17,47,61,42,37,35,22,12,52,38,36,31,37,27,21,39,49,47,44,38,30,28,52,43,39,33,39,34,22,55,42,40,32,28,24,16,51,35,37,38,44,18,21,51,45,53,54,32,20,30,43,59,44,46,31,34,30,64,32,9,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,3,8,10,9,7,7,3,22,15,24,11,13,8,10,32,23,26,8,22,17,22,22,17,20,31,34,45,23,45,42,34,47,23,31,31,43,42,38,34,32,69,29,32,25,41,39,26,19,22,44,37,27,39,21,18,13,43,34,44,41,44,38,25,49,32,42,43,47,25,22,45,62,43,38,39,22,29,52,49,56,56,49,28,52,88,61,64,68,82,39,53,109,92,83,97,133,59,61,172,143,125,147,127,73,61,191,155,166,166,147,79,64,103,5,1,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,18,9,10,14,14,11,28,17,34,13,26,12,19,32,23,24,34,29,25,15,34,26,39,37,56,20,20,49,39,59,38,51,24,19,52,55,77,78,79,59,49,114,93,86,77,62,29,23,93,102,115,92,92,46,40,123,119,117,120,97,90,36,129,136,137,122,145,74,51,187,169,191,198,221,113,30,29,10,5,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,46,47,40,38,31,31,61,46,48,67,70,44,36,78,46,54,55,58,48,30,76,50,83,64,59,52,40,69,85,77,98,96,68,64,139,101,121,117,142,59,80,170,181,192,159,180,131,69,207,171,212,191,215,152,102,211,239,222,231,292,89,85,185,205,190,163,170,136,85,204,193,199,134,181,93,80,170,165,184,150,153,90,79,145,173,160,138,131,36,30,33,14,5,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,2,5,1,3,1,7,2,11,14,16,6,7,5,3,18,9,13,13,14,14,7,9,14,21,9,20,9,15,35,15,17,33,23,32,26,65,59,46,43,58,50,29,80,71,113,85,107,67,61,171,145,112,135,144,121,89,216,226,211,215,170,147,126,248,243,236,230,249,160,108,258,256,250,261,249,153,121,293,292,304,265,301,189,158,352,349,340,356,318,165,136,298,339,259,297,210,105,113,287,250,207,170,145,84,50,16,5,5,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,18,11,15,19,27,30,47,39,43,56,48,40,72,84,65,63,65,43,41,59,58,50,84,54,48,46,85,72,95,104,81,53,65,115,87,116,127,145,86,81,122,106,162,142,138,97,83,175,197,224,222,171,103,73,205,160,180,189,177,132,109,284,293,317,274,367,181,105,312,312,310,319,297,195,105,275,277,288,321,256,196,150,389,405,405,423,340,148,133,323,365,385,399,309,189,152,340,216,0,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,7,3,5,9,5,9,14,19,16,28,31,14,11,25,19,29,33,26,40,34,27,42,35,18,31,31,25,43,35,47,44,31,27,22,43,48,40,35,63,48,17,63,51,69,71,88,68,35,114,116,106,64,96,68,48,131,97,80,94,103,79,66,135,126,170,126,227,132,115,240,290,190,206,214,184,116,299,281,289,360,388,186,138,357,257,296,250,238,99,94,148,204,261,245,167,64,25,8,4,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,6,6,2,6,7,4,7,6,3,10,9,11,7,12,15,21,13,14,24,8,16,9,16,7,25,16,23,17,20,20,16,36,37,39,21,37,29,25,42,50,41,50,44,28,16,59,37,39,45,45,39,25,65,47,59,55,48,34,26,69,53,62,53,55,26,30,62,55,74,55,48,34,28,64,77,73,62,86,25,48,85,89,72,95,73,21,45,63,87,44,62,60,18,13,26,4,1,0
