"cve_ent","poblacion","nombre","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020"
"000","127792286","Nacional","0","2","0","1","0","1","1","2","2","8","6","13","8","11","21","18","25","31","30","25","52","52","44","46","56","61","59","63","73","78","62","72","76","92","91","92","101","95","112","117","114","90","71","68","45","46","20","1"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","5","2","5","1","10","5","6","4","6","9","11","5","10","14","9","11","9","15","7","8","12","11","14","9","9","10","2","6","4","3","0","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1","1","2","0","1","0","1","0","1","1","0","0","0","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","2","0","1","2","2","2","2","1","1","0","3","0","0","0","0"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","2","1","2","1","4","0","1","1","0","0","0","3","1","3","0","0","2","4","2","1","2","2","2","2","0","2","0","0","0","0","0"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","5","6","4","1","1","4","3","2","6","2","6","4","3","5","8","5","1","11","2","2","2","0","1","1","0","0","0"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","1","0","1","3","3","1","2","4","6","5","5","7","4","3","15","9","5","16","19","19","6","12","17","18","19","9","15","13","9","14","12","12","17","17","18","14","14","8","7","6","2","0"
"10","1868996","DURANGO","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","2","1","0","3","0","0","0","2","3","3","1","2","2","0","0","2","2","2","1","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","1","0","0","1","1","1","3","0","1","3","4","2","6","3","3","1","4","1","8","1","1","1","1","0","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","2","3","0","0","2","1","0","0","2","1","0","6","4","0","3","1","1","5","0","0"
"14","8409693","JALISCO","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","2","1","1","3","0","3","2","0","1","2","2","2","0","1","0"
"15","17427790","MEXICO","0","1","0","0","0","1","0","0","0","0","0","3","1","0","2","0","4","3","4","4","4","9","5","2","5","9","11","10","10","15","7","7","15","9","11","18","13","13","22","18","18","9","6","6","2","6","1","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","1","0","1","1","1","1","0","4","1","0","2","0","1","2","4","0","1","3","2","4","3","1","3","3","2","1","0","0"
