estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,3,1,6,42,674,786,2184,2,33,39,188,4280,49193,63045,144109,11,224,237,604,6,29,26
Baja California,43,687,353,549,207,1983,2642,6240,18,184,250,1597,8826,95023,119234,212594,179,1533,1489,3003,224,126,152
Baja California Sur,4,103,24,242,182,1660,2132,4210,0,21,8,68,2777,36386,43887,77815,10,103,116,217,75,47,55
Campeche,6,42,32,46,108,615,723,1483,1,4,12,31,2364,24452,30885,58588,3,46,44,152,10,5,13
Coahuila,3,53,43,155,261,2549,3366,7873,373,4535,4793,11519,6156,106315,129078,256185,81,920,887,1532,84,69,87
Colima,16,68,43,39,103,837,996,2716,74,693,825,965,2391,26305,30908,57484,7,78,73,257,3,3,4
Chiapas,6,170,109,412,232,3045,3844,6925,68,558,851,2034,7272,75682,95486,170128,19,315,336,664,20,10,29
Chihuahua,19,426,406,453,225,3463,4368,11269,205,2926,3649,5305,4731,110523,147169,321614,55,1499,1776,4109,41,19,35
Ciudad de México,7,82,49,102,523,5243,6748,14580,49,403,523,550,26336,256863,351099,696429,262,2289,2246,6293,648,436,681
Durango,1,20,18,40,179,1428,1970,4003,0,0,0,0,4914,63114,81949,165149,6,177,163,540,6,7,9
Guanajuato,4,18,21,80,394,3503,5124,9623,2,256,276,215,15170,155197,195728,385815,68,812,864,2715,28,43,38
Guerrero,58,496,621,1500,206,1660,2622,4471,295,3081,4342,7071,6923,72461,100989,168231,18,201,232,512,31,20,36
Hidalgo,41,363,686,737,259,1845,3170,5819,6,11,12,3,9522,93278,127143,236378,28,359,356,948,21,19,34
Jalisco,10,182,128,346,450,4359,5178,11856,80,1447,1509,2626,13530,180442,221257,417909,178,3332,3410,7778,30,58,92
México,27,510,596,839,520,4733,6918,14537,169,2128,2530,4324,37499,352006,470171,932725,164,1498,1380,4672,318,214,284
Michoacán,0,69,42,66,255,2624,3523,5232,8,338,454,848,8657,106772,140008,227248,35,260,284,710,21,20,30
Morelos,21,135,166,465,118,1276,1795,2495,6,148,132,244,4773,50054,63690,122073,17,138,151,229,26,19,21
Nayarit,34,180,160,78,175,2093,2576,4724,0,0,0,0,3617,40426,51129,101047,14,140,169,505,12,14,7
Nuevo León,13,156,98,358,524,5578,7089,19262,1,93,100,219,12595,190519,229376,538932,53,975,994,2524,31,38,81
Oaxaca,3,137,114,142,335,3393,4543,8099,231,2299,3078,4796,9363,92885,117489,200723,27,333,337,979,21,22,21
Puebla,1,33,25,129,308,2528,3432,7750,7,55,95,664,15013,151501,193503,401256,32,418,413,1410,118,117,126
Querétaro,1,7,7,32,146,1131,1728,3281,0,7,9,32,6200,73734,94226,175022,15,355,300,882,21,26,31
Quintana Roo,32,246,152,110,157,2041,2188,4780,0,3,5,5,5031,49374,56603,100791,18,118,133,321,141,71,145
San Luis Potosí,31,216,238,85,339,3398,4406,9857,1,113,164,200,6618,95120,120185,243133,29,653,714,1718,16,25,26
Sinaloa,40,439,293,219,282,3163,3938,8581,8,77,86,211,9153,117362,149928,263035,99,998,991,1463,140,90,124
Sonora,9,142,60,293,158,1807,2168,5260,228,2725,3129,5282,7387,94200,119600,235899,66,975,937,3479,38,33,32
Tabasco,11,208,212,357,230,1586,2226,3992,187,1502,1822,1385,5733,54280,71725,118761,20,160,168,277,60,73,70
Tamaulipas,15,379,217,502,911,7505,8925,18513,541,6470,7290,12888,11464,143554,171147,352360,63,872,862,2137,29,22,27
Tlaxcala,0,40,33,35,122,1142,1564,3144,0,43,60,50,5773,48932,63358,129292,12,151,127,551,29,17,21
Veracruz,72,928,894,562,624,4460,6106,11720,174,1085,1401,3711,15598,161829,215150,407409,53,503,585,1386,36,33,40
Yucatán,3,98,100,72,41,557,712,1039,2,28,36,9,4869,61082,75540,143440,9,224,219,455,41,47,56
Zacatecas,1,26,36,87,397,3949,5512,10977,140,1433,2003,2666,8771,98711,123122,229950,23,516,493,1509,4,5,9
