cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,10,4,2,2,12,1,1,16,12,14,5,26,9,4,2,7,1,11,0,8,0,5,2,2,4,3,3,3,2,3,2,3,4,2,1,11,2,7,6,9,8,2,7,12,13,26,21,20,4,41,29,24,28,46,10,22,50,74,57,59,56,13,6,30,14,30,31,51,33,24,266,957,863,64
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,8,2,1,1,0,0,3,9,13,5,7,1,1,4,1,4,13,3,0,1,7,7,14,10,9,1,3,2,17,15,9,8,7,0,5,8,7,6,11,7,5,14,3,8,5,7,0,4,3,16,9,3,7,9,7,70,19,71,51,21,8,10,9,9,30,8,6,6,5,12,8,8,18,9,19,19,93,185,129,2
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,3,1,0,1,2,4,2,1,1,0,0,0,4,3,5,2,0,1,6,2,3,2,5,1,2,5,2,2,12,7,1,0,2,2,1,1,4,3,0,10,5,3,3,2,3,1,2,1,5,2,8,2,1,5,4,5,13,18,10,13,36,66,130,11
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,21,13,10,9,16,13,19,15,10,6,25,22,28,23,22,25,3,31,38,48,62,44,17,30,44,50,48,52,44,12,12,69,58,49,36,52,35,23,73,69,37,48,83,82,17,67,44,94,121,137,97,31,200,392,409,43
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,1,0,0,0,3,1,4,4,1,4,1,3,2,5,1,3,6,3,4,9,11,14,25,31,8,12,25,28,10,18,8,10,7,29,40,58,40,51,43,25,58,55,51,65,78,43,43,87,73,98,84,113,48,53,74,105,72,66,85,41,44,130,124,137,105,157,75,56,128,147,151,189,168,60,63,123,195,148,233,190,88,51,152,120,239,212,209,81,45,247,245,284,363,477,106,116,416,403,488,582,703,134,113,557,553,688,717,767,278,294,1419,1500,1526,139
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,2,1,1,2,2,2,0,2,1,2,0,1,3,2,2,0,1,3,0,3,5,5,3,4,4,8,6,17,6,9,14,3,7,8,8,9,12,16,8,1,8,20,17,8,7,2,6,10,20,22,7,17,6,3,25,26,15,28,27,14,4,30,21,37,35,44,27,31,300,434,353,21
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,1,1,1,1,2,2,1,2,4,0,1,2,1,4,8,14,6,4,8,5,2,4,2,2,1,3,1,3,3,2,0,0,2,1,0,3,2,2,4,3,17,7,4,3,3,1,9,4,3,8,3,1,3,4,3,6,4,1,0,0,2,5,6,5,2,1,0,4,0,1,8,15,9,17,35,40,64,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,2,1,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,1,0,0,0,2,0,3,1,2,1,4,0,4,7,5,1,3,14,52,119,3
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,2,5,7,6,4,1,2,4,2,6,6,7,3,1,11,5,3,3,1,2,3,7,3,7,2,9,3,2,8,6,9,3,4,4,3,13,8,9,9,13,4,4,9,28,18,13,30,6,7,30,35,33,19,50,14,16,51,40,57,111,52,17,20,89,132,40,128,351,115,47,80,244,466,482,590,282,143,594,591,460,46
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,3,0,1,0,0,1,0,0,2,2,2,0,2,3,1,0,3,6,7,7,4,2,2,6,3,12,3,4,0,5,4,9,9,19,25,10,2,14,2,6,7,9,6,6,5,8,8,5,10,5,10,9,7,6,4,4,3,1,7,9,6,5,5,4,3,12,9,8,6,14,10,9,16,11,14,26,27,33,47,129,132,110,4
